,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq                  1.142349e+06
compressionGzip                  6.721610e+05
level2                           5.869646e+05
compressionLzo                   4.535529e+05
encryption                       3.798323e+05
level9                           3.423708e+05
level5                           3.370610e+05
disableCompressibilityTesting    3.303515e+05
unlimitedWindowSize              2.479822e+05
compressionBzip2                 2.163937e+05
compressionLrzip                 1.997588e+05
#yes                             1.985013e+05
level8                           1.559027e+05
level6                           1.459069e+05
level3                           1.219555e+05
level4                           4.780226e+04
level7                           2.830981e+04
level1                           6.693881e-10
compression                      2.473826e-10
level                            1.746230e-10
dtype: float64","count     225.000000
mean      340.951255
std       427.501844
min         2.501657
25%        67.456411
50%       191.346559
75%       455.305066
max      2939.335101
Name: % error, dtype: float64",22
1,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"compressionZpaq                  903179.594806
compressionGzip                  792732.502067
compressionLzo                   658163.415339
level2                           650131.773334
disableCompressibilityTesting    426443.248574
compressionBzip2                 411844.479875
unlimitedWindowSize              364487.872680
level3                           269072.950468
level5                           221507.051553
encryption                       199567.635613
level9                           187810.958582
level6                           154314.226914
level7                           125469.950910
level4                            65582.006453
#yes                              26495.216811
level8                            20272.727264
compressionLrzip                  15827.484044
dtype: float64","count     225.000000
mean      305.713066
std       381.472701
min         1.533755
25%        62.525588
50%       167.611190
75%       411.727499
max      2716.255587
Name: % error, dtype: float64",22
2,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"compressionZpaq                  655505.696078
compressionLzo                   319979.276536
compressionGzip                  309290.046616
level2                           256720.675190
level6                           190816.729197
compressionBzip2                 184562.414732
level5                           175600.711142
level3                           162415.961365
compressionLrzip                 158326.041806
encryption                       133311.333889
disableCompressibilityTesting    101843.212227
unlimitedWindowSize               76081.685208
level4                            67151.515309
level8                            59213.276623
level9                            54790.617699
#yes                              44613.563546
level7                             5866.817203
dtype: float64","count     225.000000
mean      166.962184
std       193.898420
min         1.717333
25%        47.413091
50%        91.738824
75%       213.919464
max      1574.831453
Name: % error, dtype: float64",22
3,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","ElasticNet(alpha=0.3, max_iter=100)",Performance,0.1,"compressionZpaq                  502444.276886
compressionLzo                   260818.878758
compressionGzip                  227602.617827
level2                           172373.062728
level6                           171622.565901
compressionBzip2                 140585.563629
level5                           134464.673552
level3                           132891.555970
compressionLrzip                 126563.776421
encryption                        95500.154372
level4                            72952.143741
disableCompressibilityTesting     64991.379184
unlimitedWindowSize               51028.493593
level8                            38348.269832
level9                            29861.591737
#yes                              20519.660036
level7                             3917.659300
dtype: float64","count     225.000000
mean      168.063455
std       191.446764
min         0.545543
25%        46.820637
50%        82.441671
75%       225.836046
max      1335.292720
Name: % error, dtype: float64",22
4,RandomForest,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    225.000000
mean      88.576847
std       91.210148
min        0.658412
25%       24.700914
50%       62.847932
75%      127.076530
max      451.323913
Name: % error, dtype: float64",22
5,GradientBoostingTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    225.000000
mean      52.856627
std       76.652468
min        0.140982
25%        4.479483
50%       12.938687
75%       71.145599
max      376.722872
Name: % error, dtype: float64",22
6,DecisionTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    225.000000
mean      52.162249
std       86.328458
min        0.000000
25%        1.994525
50%        5.684755
75%       60.998266
max      412.455720
Name: % error, dtype: float64",22
7,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  1.478327e+06
level9                           8.098709e+05
compressionGzip                  5.347779e+05
compressionLzo                   4.596566e+05
level2                           3.811072e+05
compressionBzip2                 3.278343e+05
level3                           3.087380e+05
encryption                       2.014465e+05
level1                           1.953195e+05
level8                           1.748601e+05
compressionLrzip                 1.560581e+05
disableCompressibilityTesting    1.324776e+05
#yes                             5.866160e+04
level5                           4.990101e+04
level7                           3.667873e+04
level4                           3.551231e+04
level6                           2.252569e+04
unlimitedWindowSize              1.030734e+04
compression                      2.328306e-10
level                            1.164153e-10
dtype: float64","count     200.000000
mean      226.461791
std       338.006333
min         0.182568
25%        44.103801
50%        93.900310
75%       276.498118
max      1747.049745
Name: % error, dtype: float64",22
8,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"compressionZpaq                  1.305845e+06
compressionGzip                  7.023688e+05
level9                           6.577022e+05
compressionLzo                   6.328759e+05
level2                           5.322912e+05
compressionBzip2                 4.966401e+05
level3                           4.661173e+05
level1                           3.545920e+05
compressionLrzip                 3.262493e+05
encryption                       2.599010e+05
level5                           2.020593e+05
level7                           1.908867e+05
level4                           1.863121e+05
level6                           1.262140e+05
disableCompressibilityTesting    7.526150e+04
unlimitedWindowSize              4.500178e+04
level8                           1.848923e+04
#yes                             3.966159e+03
dtype: float64","count     200.000000
mean      230.308356
std       343.376441
min         0.070903
25%        43.913812
50%        94.200911
75%       281.203276
max      1747.746119
Name: % error, dtype: float64",22
9,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.2,"compressionZpaq                  1.174114e+06
level9                           5.647159e+05
compressionLzo                   4.160201e+05
compressionGzip                  4.034358e+05
level3                           2.876611e+05
compressionBzip2                 2.688504e+05
level2                           2.572161e+05
encryption                       1.816300e+05
disableCompressibilityTesting    1.589955e+05
compressionLrzip                 8.580736e+04
level6                           8.294075e+04
level8                           7.370992e+04
#yes                             6.548306e+04
level1                           6.400700e+04
level5                           5.209501e+04
unlimitedWindowSize              4.284851e+04
level4                           3.677845e+04
level7                           2.360901e+04
dtype: float64","count     200.000000
mean      200.190243
std       271.966262
min         0.880188
25%        43.806603
50%       101.649653
75%       243.915194
max      1485.578449
Name: % error, dtype: float64",22
