,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq                  8.377418e+05
level7                           8.377418e+05
level1                           6.218991e+05
#yes                             3.595185e+05
level3                           3.338524e+05
compression                      3.271470e+05
level8                           2.758609e+05
compressionGzip                  2.584624e+05
level6                           2.436024e+05
compressionLzo                   2.231841e+05
disableCompressibilityTesting    2.228002e+05
compressionBzip2                 1.861224e+05
compressionLrzip                 1.571742e+05
level5                           1.346926e+05
unlimitedWindowSize              7.892186e+04
level4                           4.152573e+04
level9                           7.415727e+03
encryption                       6.946477e+03
root                             1.746230e-10
level                            5.820766e-11
level2                           5.820766e-11
dtype: float64","count     161.000000
mean      344.054134
std       450.781794
min         0.505349
25%        61.893406
50%       148.177017
75%       455.566293
max      2300.233405
Name: % error, dtype: float64",22
1,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Lasso(alpha=25),Performance,0.1,"compressionZpaq                  1.676176e+06
level1                           5.998332e+05
#yes                             3.806453e+05
level3                           3.135169e+05
level8                           2.943613e+05
compression                      2.789680e+05
compressionGzip                  2.560676e+05
disableCompressibilityTesting    2.444088e+05
compressionLzo                   2.224170e+05
level6                           2.213753e+05
compressionBzip2                 1.843402e+05
compressionLrzip                 1.586216e+05
level5                           1.524311e+05
unlimitedWindowSize              1.003399e+05
level4                           2.198468e+04
level7                           1.959092e+04
encryption                       1.745501e+04
level9                           1.104788e+04
dtype: float64","count     161.000000
mean      292.707692
std       368.346542
min         0.154247
25%        60.534409
50%       156.218656
75%       338.636915
max      2284.074612
Name: % error, dtype: float64",22
2,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=25),Performance,0.1,"compressionZpaq                  68923.932162
level7                           68923.932162
encryption                       64615.559511
compression                      37047.508201
compressionGzip                  32518.908413
unlimitedWindowSize              31930.816488
disableCompressibilityTesting    31233.463186
level9                           29289.790537
level3                           23019.895437
compressionLrzip                 22541.062080
level1                           18759.997600
level8                           18125.968614
compressionLzo                   13405.920622
#yes                             10176.810193
level5                            9527.844374
compressionBzip2                  8492.657005
level4                            4400.265190
level6                            2052.107639
dtype: float64","count    161.000000
mean     232.893280
std      231.439778
min        1.834462
25%       51.922608
50%       92.835882
75%      389.239815
max      800.307103
Name: % error, dtype: float64",22
3,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","ElasticNet(alpha=0.3, l1_ratio=0.1, max_iter=1)",Performance,0.1,"compressionZpaq                  316355.753926
level7                           259428.093285
encryption                       228097.789309
compressionGzip                  132677.668857
level3                            99000.610364
level9                            97516.822727
compression                       88083.304408
compressionLzo                    86350.532657
unlimitedWindowSize               83928.501928
level8                            74602.239354
disableCompressibilityTesting     70854.811138
compressionBzip2                  61842.530001
compressionLrzip                  53433.905232
#yes                              48965.348956
level4                            41589.591408
level1                            29808.936760
level5                            27416.816849
level6                             3917.466659
dtype: float64","count     161.000000
mean      234.751385
std       291.524509
min         1.361466
25%        49.683786
50%        95.852971
75%       304.219734
max      1370.558284
Name: % error, dtype: float64",22
4,RandomForest,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count     161.000000
mean      173.693765
std       360.953272
min         0.271556
25%        15.554444
50%        71.967822
75%       139.939050
max      2144.722504
Name: % error, dtype: float64",22
5,GradientBoostingTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count     161.000000
mean      152.462347
std       377.373756
min         0.594854
25%        16.950919
50%        43.831251
75%        89.782104
max      2354.698137
Name: % error, dtype: float64",22
6,DecisionTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    161.000000
mean      51.467141
std       94.289350
min        0.068752
25%        4.320147
50%       16.791429
75%       37.477661
max      459.238177
Name: % error, dtype: float64",22
7,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  3.432564e+06
level2                           1.946672e+06
level7                           1.695712e+06
compressionGzip                  1.024556e+06
level8                           9.415590e+05
level9                           8.507730e+05
compressionBzip2                 8.271741e+05
compression                      7.084309e+05
compressionLzo                   6.416948e+05
level5                           6.354843e+05
level1                           5.588343e+05
unlimitedWindowSize              5.364469e+05
disableCompressibilityTesting    5.337285e+05
level4                           3.296865e+05
encryption                       2.802207e+05
compressionLrzip                 2.307077e+05
level6                           1.800200e+05
level3                           1.460270e+05
#yes                             6.646572e+04
level                            1.746230e-10
dtype: float64","count     143.000000
mean      793.547390
std      1209.329669
min         0.330026
25%       103.738475
50%       283.824871
75%       871.110694
max      6531.727154
Name: % error, dtype: float64",22
8,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.2,"compressionZpaq                  2.790551e+06
level7                           1.726215e+06
compressionLzo                   1.227011e+06
level2                           1.150257e+06
compressionGzip                  7.719941e+05
compressionBzip2                 7.105216e+05
encryption                       6.771230e+05
compressionLrzip                 5.048406e+05
compression                      4.658217e+05
disableCompressibilityTesting    3.257917e+05
level8                           2.919678e+05
level5                           2.846047e+05
level9                           2.112990e+05
#yes                             1.950577e+05
unlimitedWindowSize              1.831457e+05
level6                           1.009266e+05
level4                           9.365585e+04
level3                           7.066553e+04
level1                           5.127980e+03
dtype: float64","count     143.000000
mean      553.621200
std       829.129047
min         1.248449
25%        73.518482
50%       272.494041
75%       583.397708
max      3654.315946
Name: % error, dtype: float64",22
9,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"compressionZpaq                  791118.398856
level8                           265112.721568
encryption                       250719.977839
compressionGzip                  236035.780840
compression                      218708.861725
level9                           173309.598612
compressionBzip2                 162152.896468
level1                           147061.833975
compressionLrzip                 118123.670729
#yes                             108626.634100
level4                           100928.346219
level3                            92669.168776
level2                            70538.837932
level7                            66514.850213
level5                            62686.704731
compressionLzo                    56097.189093
disableCompressibilityTesting     44203.718944
unlimitedWindowSize               33867.392567
level6                            31052.278761
dtype: float64","count     143.000000
mean      342.584638
std       423.219068
min         1.025051
25%        59.094751
50%       131.079831
75%       481.135759
max      1725.630728
Name: % error, dtype: float64",22
