,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionLrzip    381142.237960
level2              228261.983003
level3              161972.259207
level9               96138.640227
level8               44674.320113
dtype: float64","count    225.000000
mean     116.330558
std       83.247805
min        0.206429
25%       41.623772
50%      100.907687
75%      169.530519
max      334.184450
Name: % error, dtype: float64",6
1,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"compressionLrzip    284060.861893
level2              144897.395614
level9              121540.570175
level8               86928.552632
level3                2875.809315
dtype: float64","count    225.000000
mean     101.462854
std       72.595326
min        1.008190
25%       46.328322
50%       94.265464
75%      131.613267
max      371.575549
Name: % error, dtype: float64",6
2,Ridge,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"compressionLrzip    171705.656471
level2               56357.618999
level8               48442.042164
level3               28048.824275
level9               18996.464063
dtype: float64","count    225.000000
mean     107.911534
std       83.789603
min        0.429929
25%       38.275459
50%       93.195737
75%      167.252541
max      339.840508
Name: % error, dtype: float64",6
3,ElasticNet,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","ElasticNet(alpha=0.5, max_iter=10)",Performance,0.1,"compressionLrzip    133634.281723
level8               39037.103873
level2               38213.251275
level3               17342.661172
level9               14118.102605
dtype: float64","count    225.000000
mean     117.027450
std       89.825314
min        0.499675
25%       36.087775
50%       92.871961
75%      187.173580
max      335.455058
Name: % error, dtype: float64",6
4,PolynomialRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionLrzip    1.078325e+05
level9              5.726250e+04
level2              5.353000e+04
level3              4.751500e+04
level8              4.654850e+04
compressionZpaq     4.365575e-11
dtype: float64","count    225.000000
mean      96.639525
std       88.914462
min        0.033929
25%       30.263053
50%       69.810098
75%       98.973548
max      330.806332
Name: % error, dtype: float64",6
5,RandomForest,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level3             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    225.000000
mean     102.150960
std       88.108287
min        0.031590
25%       34.224800
50%       70.186354
75%      135.703596
max      334.168381
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level3             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    225.000000
mean      96.514018
std       88.472690
min        0.070738
25%       30.531115
50%       69.353322
75%       98.948383
max      329.614278
Name: % error, dtype: float64",6
7,DecisionTree,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level3             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    225.000000
mean      96.455696
std       88.990407
min        0.033929
25%       30.263053
50%       69.810098
75%       98.973548
max      330.806332
Name: % error, dtype: float64",6
8,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     1.550131e+06
compressionLrzip    4.645932e+05
level3              4.221742e+05
level2              2.893685e+05
level9              1.953885e+05
level8              1.912717e+04
dtype: float64","count    200.000000
mean     195.311298
std      167.809389
min        0.301576
25%       36.904295
50%      138.766570
75%      340.804632
max      546.051814
Name: % error, dtype: float64",6
9,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.2,"compressionZpaq     1.391238e+06
compressionLrzip    4.221460e+05
level3              3.058829e+05
level2              2.416140e+05
level9              1.662635e+05
level8              1.048668e+05
dtype: float64","count    200.000000
mean     170.892431
std      148.929944
min        0.271625
25%       41.809930
50%      115.104365
75%      281.561065
max      610.904839
Name: % error, dtype: float64",6
