,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     1.206617e+06
level1              3.262733e+05
compressionLrzip    1.975463e+05
level2              1.906434e+05
level8              1.226957e+05
level9              1.102823e+05
dtype: float64","count    225.000000
mean     109.850476
std      103.101442
min        0.102191
25%       34.914620
50%       75.731258
75%      170.799888
max      474.575714
Name: % error, dtype: float64",6
1,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"compressionZpaq     1.083911e+06
level2              2.078422e+05
level1              2.071860e+05
compressionLrzip    1.698124e+05
level8              8.259013e+04
level9              7.266681e+04
dtype: float64","count    225.000000
mean     103.744547
std       85.911680
min        0.315785
25%       44.444884
50%       68.021609
75%      146.922167
max      376.711428
Name: % error, dtype: float64",6
2,Ridge,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"compressionZpaq     635575.192401
level2               96637.579295
level8               93645.544196
compressionLrzip     81857.605056
level1               78446.103687
level9               47887.524553
dtype: float64","count    225.000000
mean     110.290192
std      111.622872
min        0.426257
25%       25.231940
50%       70.725785
75%      137.937756
max      455.678072
Name: % error, dtype: float64",6
3,ElasticNet,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.1, max_iter=1)",Performance,0.1,"compressionZpaq     585306.533742
level2              100449.367319
level8               81423.353344
compressionLrzip     72348.535308
level1               45851.092875
level9               40522.544658
dtype: float64","count    225.000000
mean     115.630368
std      116.557367
min        0.113593
25%       22.158150
50%       70.790274
75%      158.539793
max      464.154770
Name: % error, dtype: float64",6
4,PolynomialRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     1.095906e+06
compressionLrzip    1.275964e+05
level1              1.149857e+04
level8              1.069024e+04
level2              6.060429e+03
level9              4.483571e+03
dtype: float64","count    225.000000
mean      44.526981
std       35.655858
min        0.025610
25%       15.718510
50%       49.528256
75%       68.943417
max      236.212117
Name: % error, dtype: float64",6
5,RandomForest,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
level2             NaN
compressionLrzip   NaN
Name: % error, dtype: float64","count    225.000000
mean      47.705468
std       25.597061
min        0.192604
25%       27.689389
50%       51.106969
75%       69.589117
max      123.737848
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
level2             NaN
compressionLrzip   NaN
Name: % error, dtype: float64","count    225.000000
mean      44.375069
std       35.578484
min        0.019186
25%       15.700251
50%       49.168646
75%       68.940096
max      236.190523
Name: % error, dtype: float64",6
7,DecisionTree,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
level2             NaN
compressionLrzip   NaN
Name: % error, dtype: float64","count    225.000000
mean      44.345826
std       35.574016
min        0.025610
25%       15.718510
50%       49.176310
75%       68.943417
max      236.212117
Name: % error, dtype: float64",6
8,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     2.608772e+06
level9              1.766613e+06
level8              1.045194e+06
compressionLrzip    4.932867e+05
level1              3.920166e+05
level2              3.181870e+04
dtype: float64","count     200.000000
mean      365.420965
std       532.874420
min         3.929825
25%       147.211894
50%       234.031836
75%       364.328034
max      3529.047105
Name: % error, dtype: float64",6
9,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'level2',
       'compressionLrzip'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"compressionZpaq     2.608614e+06
level9              1.766329e+06
level8              1.044956e+06
compressionLrzip    4.930732e+05
level1              3.917143e+05
level2              3.175935e+04
dtype: float64","count     200.000000
mean      365.282992
std       532.771264
min         3.958599
25%       147.172657
50%       233.920445
75%       364.222169
max      3528.648222
Name: % error, dtype: float64",6
