,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq    1.083632e+06
level1             2.128296e+05
level8             1.160956e+05
compressionLzo     8.466714e+04
compressionGzip    7.911968e+04
level9             4.723754e+04
dtype: float64","count    225.000000
mean      97.846830
std       94.889357
min        0.123425
25%       33.806591
50%       78.574798
75%      108.060050
max      424.298587
Name: % error, dtype: float64",6
1,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"compressionZpaq    1.083911e+06
level1             2.021773e+05
level8             8.542391e+04
compressionLzo     8.127786e+04
compressionGzip    7.297878e+04
level9             6.234304e+04
dtype: float64","count    225.000000
mean      95.014179
std       89.690393
min        0.142577
25%       35.242626
50%       77.254698
75%      106.785974
max      408.743749
Name: % error, dtype: float64",6
2,Ridge,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"compressionZpaq    805978.280330
compressionLzo     118970.061698
level1             107814.554777
level8             104512.375743
compressionGzip     76314.783219
level9              22586.463783
dtype: float64","count    225.000000
mean      99.452381
std      113.599145
min        0.141024
25%       35.865510
50%       59.332881
75%       98.934595
max      498.280482
Name: % error, dtype: float64",6
3,ElasticNet,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')","ElasticNet(alpha=0.1, max_iter=1)",Performance,0.1,"compressionZpaq    735770.681234
compressionLzo     113444.716516
level8              89857.103805
level1              78684.374746
compressionGzip     66864.509806
level9              46266.908711
dtype: float64","count    225.000000
mean     101.281427
std      116.091781
min        0.470983
25%       32.363561
50%       57.969762
75%       94.884393
max      503.123708
Name: % error, dtype: float64",6
4,PolynomialRegression,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq    647991.500000
level8              63358.500000
compressionLzo      59436.000000
compressionGzip     30563.500000
level1              21159.000000
level9               1653.333333
dtype: float64","count    225.000000
mean      79.323447
std       99.818563
min        0.123425
25%       19.858616
50%       35.120216
75%       83.179038
max      446.079644
Name: % error, dtype: float64",6
5,RandomForest,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"compressionZpaq   NaN
level9            NaN
level8            NaN
compressionLzo    NaN
level1            NaN
compressionGzip   NaN
Name: % error, dtype: float64","count    225.000000
mean      78.539516
std       95.055481
min        0.110539
25%       21.873045
50%       38.105883
75%       79.008989
max      424.555621
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"compressionZpaq   NaN
level9            NaN
level8            NaN
compressionLzo    NaN
level1            NaN
compressionGzip   NaN
Name: % error, dtype: float64","count    225.000000
mean      79.175312
std       99.502240
min        0.049520
25%       19.945815
50%       35.135638
75%       83.283848
max      445.059444
Name: % error, dtype: float64",6
7,DecisionTree,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"compressionZpaq   NaN
level9            NaN
level8            NaN
compressionLzo    NaN
level1            NaN
compressionGzip   NaN
Name: % error, dtype: float64","count    225.000000
mean      77.623196
std       99.646539
min        0.123425
25%       19.858616
50%       35.082509
75%       78.566985
max      446.079644
Name: % error, dtype: float64",6
8,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq    2.351712e+06
level9             1.929015e+06
level8             1.046842e+06
compressionLzo     4.942474e+05
level1             3.114449e+05
compressionGzip    7.026256e+04
dtype: float64","count     200.000000
mean      362.709710
std       635.410005
min         0.726543
25%        57.746469
50%        91.347448
75%       525.937662
max      4358.324314
Name: % error, dtype: float64",6
9,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level9', 'level8', 'compressionLzo', 'level1',
       'compressionGzip'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"compressionZpaq    2.351616e+06
level9             1.928623e+06
level8             1.046559e+06
compressionLzo     4.940905e+05
level1             3.111570e+05
compressionGzip    6.995841e+04
dtype: float64","count     200.000000
mean      362.581463
std       635.266994
min         0.587826
25%        57.894726
50%        91.433864
75%       525.340865
max      4357.645414
Name: % error, dtype: float64",6
