,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.1,False,2024-01-29 01:13:23.599118,2024-01-29 01:13:25.396070
10,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.2,False,2024-01-29 01:13:25.397633,2024-01-29 01:13:27.775754
20,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.3,False,2024-01-29 01:13:27.779992,2024-01-29 01:13:30.206685
30,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.4,False,2024-01-29 01:13:30.210631,2024-01-29 01:13:32.300867
40,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.5,False,2024-01-29 01:13:32.305051,2024-01-29 01:13:34.452274
50,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.6,False,2024-01-29 01:13:34.456217,2024-01-29 01:13:36.631535
60,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.7,False,2024-01-29 01:13:36.635666,2024-01-29 01:13:38.842167
70,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.8,False,2024-01-29 01:13:38.846207,2024-01-29 01:13:41.026220
80,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,0.9,False,2024-01-29 01:13:41.030178,2024-01-29 01:13:43.222852
90,distBased,0.3,4,True,GradientBoostingTree,DecisionTree,,,2024-01-29 01:13:23.590220,2024-01-29 01:13:43.227549
100,distBased,0.4,5,True,GradientBoostingTree,DecisionTree,0.1,False,2024-01-29 01:13:43.472502,2024-01-29 01:13:45.838821
110,distBased,0.4,5,True,GradientBoostingTree,DecisionTree,0.2,False,2024-01-29 01:13:45.843238,2024-01-29 01:13:48.247944
120,distBased,0.4,5,True,GradientBoostingTree,DecisionTree,0.3,False,2024-01-29 01:13:48.252518,2024-01-29 01:13:50.444717
130,distBased,0.4,5,True,GradientBoostingTree,DecisionTree,0.4,False,2024-01-29 01:13:50.448956,2024-01-29 01:13:52.632824
140,distBased,0.4,5,True,GradientBoostingTree,DecisionTree,0.5,False,2024-01-29 01:13:52.637365,2024-01-29 01:13:54.845820
150,distBased,0.4,5,True,GradientBoostingTree,DecisionTree,0.6,False,2024-01-29 01:13:54.850034,2024-01-29 01:13:57.057742
