,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,4,True,RandomForest,DecisionTree,0.1,False,2024-01-30 22:20:07.355956,2024-01-30 22:20:09.459455
10,distBased,0.3,4,True,RandomForest,DecisionTree,0.2,False,2024-01-30 22:20:09.461179,2024-01-30 22:20:12.547753
20,distBased,0.3,4,True,RandomForest,DecisionTree,0.3,False,2024-01-30 22:20:12.551318,2024-01-30 22:20:17.268417
30,distBased,0.3,4,True,RandomForest,DecisionTree,0.4,False,2024-01-30 22:20:17.273174,2024-01-30 22:20:24.645607
40,distBased,0.3,4,True,RandomForest,DecisionTree,0.5,False,2024-01-30 22:20:24.648950,2024-01-30 22:20:33.309479
50,distBased,0.3,4,True,RandomForest,DecisionTree,0.6,False,2024-01-30 22:20:33.313484,2024-01-30 22:20:43.358003
60,distBased,0.3,4,True,RandomForest,DecisionTree,0.7,False,2024-01-30 22:20:43.362902,2024-01-30 22:20:55.665275
70,distBased,0.3,4,True,RandomForest,DecisionTree,0.8,False,2024-01-30 22:20:55.669612,2024-01-30 22:21:03.098761
80,distBased,0.3,4,True,RandomForest,DecisionTree,0.9,False,2024-01-30 22:21:03.103434,2024-01-30 22:21:06.395352
90,distBased,0.3,4,True,RandomForest,DecisionTree,,,2024-01-30 22:20:07.342439,2024-01-30 22:21:06.400130
100,distBased,0.4,5,True,RandomForest,DecisionTree,0.1,False,2024-01-30 22:21:06.629136,2024-01-30 22:21:09.947721
110,distBased,0.4,5,True,RandomForest,DecisionTree,0.2,False,2024-01-30 22:21:09.953049,2024-01-30 22:21:13.219161
120,distBased,0.4,5,True,RandomForest,DecisionTree,0.3,False,2024-01-30 22:21:13.224370,2024-01-30 22:21:16.672516
130,distBased,0.4,5,True,RandomForest,DecisionTree,0.4,False,2024-01-30 22:21:16.678516,2024-01-30 22:21:20.652354
140,distBased,0.4,5,True,RandomForest,DecisionTree,0.5,False,2024-01-30 22:21:20.658061,2024-01-30 22:21:24.648562
150,distBased,0.4,5,True,RandomForest,DecisionTree,0.6,False,2024-01-30 22:21:24.653791,2024-01-30 22:21:27.483655
160,distBased,0.4,5,True,RandomForest,DecisionTree,0.7,False,2024-01-30 22:21:27.487505,2024-01-30 22:21:30.500701
170,distBased,0.4,5,True,RandomForest,DecisionTree,0.8,False,2024-01-30 22:21:30.505763,2024-01-30 22:21:34.190704
180,distBased,0.4,5,True,RandomForest,DecisionTree,0.9,False,2024-01-30 22:21:34.195513,2024-01-30 22:21:38.153186
190,distBased,0.4,5,True,RandomForest,DecisionTree,,,2024-01-30 22:21:06.611740,2024-01-30 22:21:38.159323
200,distBased,0.5,6,True,RandomForest,DecisionTree,0.1,False,2024-01-30 22:21:38.527484,2024-01-30 22:21:42.431549
210,distBased,0.5,6,True,RandomForest,DecisionTree,0.2,False,2024-01-30 22:21:42.436997,2024-01-30 22:21:46.320031
220,distBased,0.5,6,True,RandomForest,DecisionTree,0.3,False,2024-01-30 22:21:46.325424,2024-01-30 22:21:50.138145
230,distBased,0.5,6,True,RandomForest,DecisionTree,0.4,False,2024-01-30 22:21:50.142531,2024-01-30 22:21:53.458196
240,distBased,0.5,6,True,RandomForest,DecisionTree,0.5,False,2024-01-30 22:21:53.462680,2024-01-30 22:21:56.793601
250,distBased,0.5,6,True,RandomForest,DecisionTree,0.6,False,2024-01-30 22:21:56.798114,2024-01-30 22:21:59.916504
260,distBased,0.5,6,True,RandomForest,DecisionTree,0.7,False,2024-01-30 22:21:59.920401,2024-01-30 22:22:02.576907
270,distBased,0.5,6,True,RandomForest,DecisionTree,0.8,False,2024-01-30 22:22:02.581804,2024-01-30 22:22:05.866326
280,distBased,0.5,6,True,RandomForest,DecisionTree,0.9,False,2024-01-30 22:22:05.871492,2024-01-30 22:22:09.933782
290,distBased,0.5,6,True,RandomForest,DecisionTree,,,2024-01-30 22:21:38.506766,2024-01-30 22:22:09.939558
300,distBased,0.6,7,True,RandomForest,DecisionTree,0.1,False,2024-01-30 22:22:10.429595,2024-01-30 22:22:14.406023
310,distBased,0.6,7,True,RandomForest,DecisionTree,0.2,False,2024-01-30 22:22:14.411748,2024-01-30 22:22:18.414129
320,distBased,0.6,7,True,RandomForest,DecisionTree,0.3,False,2024-01-30 22:22:18.420025,2024-01-30 22:22:21.822617
330,distBased,0.6,7,True,RandomForest,DecisionTree,0.4,False,2024-01-30 22:22:21.827808,2024-01-30 22:22:25.170169
340,distBased,0.6,7,True,RandomForest,DecisionTree,0.5,False,2024-01-30 22:22:25.175406,2024-01-30 22:22:28.533119
350,distBased,0.6,7,True,RandomForest,DecisionTree,0.6,False,2024-01-30 22:22:28.537734,2024-01-30 22:22:31.938216
360,distBased,0.6,7,True,RandomForest,DecisionTree,0.7,False,2024-01-30 22:22:31.943718,2024-01-30 22:22:35.331713
370,distBased,0.6,7,True,RandomForest,DecisionTree,0.8,False,2024-01-30 22:22:35.336883,2024-01-30 22:22:38.705290
380,distBased,0.6,7,True,RandomForest,DecisionTree,0.9,False,2024-01-30 22:22:38.710413,2024-01-30 22:22:42.127291
390,distBased,0.6,7,True,RandomForest,DecisionTree,,,2024-01-30 22:22:10.408547,2024-01-30 22:22:42.132501
400,divDistBased,0.3,4,True,RandomForest,DecisionTree,0.1,False,2024-01-30 22:22:42.792540,2024-01-30 22:22:45.198172
410,divDistBased,0.3,4,True,RandomForest,DecisionTree,0.2,False,2024-01-30 22:22:45.202621,2024-01-30 22:22:49.321336
420,divDistBased,0.3,4,True,RandomForest,DecisionTree,0.3,False,2024-01-30 22:22:49.325861,2024-01-30 22:22:55.152896
430,divDistBased,0.3,4,True,RandomForest,DecisionTree,0.4,False,2024-01-30 22:22:55.157556,2024-01-30 22:23:02.548919
