,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"instcombine         1.594077e+01
gvn                 1.323179e+01
print_used_types    8.707580e+00
sccp                8.111720e+00
iv_users            7.005555e+00
licm                5.065586e+00
#yes                4.910753e+00
simplifycfg         3.515264e+00
ipsccp              2.943328e+00
jump_threading      1.479223e+00
inline              5.231698e-01
time_passes         8.881784e-15
dtype: float64","count    158.000000
mean       3.958103
std        3.649450
min        0.059003
25%        1.613475
50%        2.779888
75%        5.279211
max       17.732256
Name: % error, dtype: float64",14
1,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.2, max_iter=10)",Performance,0.1,"instcombine         18.965952
gvn                 15.410959
licm                 7.642942
jump_threading       5.479059
inline               4.549313
print_used_types     3.680973
sccp                 3.485175
ipsccp               3.108792
#yes                 0.483171
iv_users             0.159558
dtype: float64","count    158.000000
mean       3.885533
std        3.782288
min        0.008642
25%        1.169619
50%        2.765455
75%        4.710696
max       18.343247
Name: % error, dtype: float64",14
2,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(alpha=0.1),Performance,0.1,"instcombine         15.384956
gvn                 12.026485
print_used_types     8.623654
sccp                 8.144072
iv_users             6.088338
#yes                 4.869739
licm                 4.449140
simplifycfg          3.586172
ipsccp               1.947341
jump_threading       1.412703
inline               0.013969
dtype: float64","count    158.000000
mean       3.919000
std        3.671783
min        0.030128
25%        1.587755
50%        2.793552
75%        4.880882
max       17.847790
Name: % error, dtype: float64",14
3,ElasticNet,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=10)",Performance,0.1,"instcombine         18.175406
gvn                 13.675054
licm                 7.295623
jump_threading       5.277022
inline               4.859129
print_used_types     4.433723
sccp                 4.378535
ipsccp               4.000935
#yes                 0.832290
iv_users             0.206589
simplifycfg          0.161302
dtype: float64","count    158.000000
mean       3.959691
std        3.728915
min        0.022118
25%        1.237850
50%        2.924557
75%        4.942348
max       18.137499
Name: % error, dtype: float64",14
4,RandomForest,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"root               NaN
time_passes        NaN
gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    158.000000
mean       4.624506
std        3.664079
min        0.040656
25%        2.173211
50%        3.697376
75%        6.109458
max       18.936455
Name: % error, dtype: float64",14
5,GradientBoostingTree,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"root               NaN
time_passes        NaN
gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    158.000000
mean       4.341251
std        3.795900
min        0.072113
25%        1.473744
50%        3.515086
75%        5.499194
max       19.835816
Name: % error, dtype: float64",14
6,DecisionTree,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"root               NaN
time_passes        NaN
gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    158.000000
mean       4.131303
std        3.812946
min        0.037663
25%        1.038481
50%        2.864797
75%        6.382596
max       20.716567
Name: % error, dtype: float64",14
7,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"instcombine         1.274276e+01
gvn                 1.025773e+01
print_used_types    9.240736e+00
licm                8.825486e+00
sccp                7.394840e+00
iv_users            7.065669e+00
#yes                5.623838e+00
inline              4.958347e+00
simplifycfg         3.289117e+00
ipsccp              3.288352e+00
jump_threading      8.817724e-01
time_passes         4.440892e-16
dtype: float64","count    140.000000
mean       3.333863
std        3.069818
min        0.050660
25%        1.165046
50%        2.638287
75%        4.484467
max       15.341251
Name: % error, dtype: float64",14
8,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=10)",Performance,0.2,"instcombine         19.251632
gvn                 16.800266
licm                15.522123
inline              11.805852
jump_threading       5.724475
ipsccp               3.637338
simplifycfg          3.369132
print_used_types     2.091982
#yes                 1.158189
sccp                 0.362952
dtype: float64","count    140.000000
mean       3.263869
std        3.073618
min        0.085259
25%        1.103860
50%        2.466320
75%        4.491374
max       15.441184
Name: % error, dtype: float64",14
9,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(alpha=0.2),Performance,0.2,"instcombine         12.402772
gvn                  9.689142
print_used_types     9.015043
licm                 8.338388
sccp                 7.273172
iv_users             6.641232
#yes                 5.631469
inline               5.064002
simplifycfg          3.240352
ipsccp               2.804623
jump_threading       0.888412
dtype: float64","count    140.000000
mean       3.294997
std        3.093018
min        0.005208
25%        1.079638
50%        2.518853
75%        4.688996
max       15.617132
Name: % error, dtype: float64",14
