,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"gvn                 2.062010e+01
instcombine         1.139133e+01
iv_users            1.047364e+01
print_used_types    1.006485e+01
licm                8.818920e+00
ipsccp              6.399819e+00
#yes                4.766250e+00
sccp                4.450670e+00
jump_threading      3.783044e+00
simplifycfg         3.030878e+00
inline              2.138800e+00
time_passes         3.552714e-15
dtype: float64","count    149.000000
mean       2.361506
std        2.324525
min        0.010457
25%        0.904460
50%        1.804769
75%        2.894064
max       13.713581
Name: % error, dtype: float64",14
1,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.8, max_iter=1)",Performance,0.1,"gvn                 21.645667
instcombine          8.256547
ipsccp               5.087648
sccp                 3.900792
licm                 3.059932
inline               2.200285
print_used_types     1.456550
jump_threading       1.255069
dtype: float64","count    149.000000
mean       3.092050
std        3.151940
min        0.038867
25%        0.732689
50%        2.121096
75%        4.357998
max       17.175059
Name: % error, dtype: float64",14
2,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"gvn                 15.958548
ipsccp               7.456106
iv_users             5.996796
instcombine          5.901244
licm                 5.730088
print_used_types     5.431984
sccp                 5.400448
simplifycfg          4.246480
inline               1.925838
#yes                 1.860944
jump_threading       0.877039
dtype: float64","count    149.000000
mean       2.696523
std        2.499522
min        0.000030
25%        1.067222
50%        2.104333
75%        3.487838
max       15.079904
Name: % error, dtype: float64",14
3,ElasticNet,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.8, l1_ratio=1.0, max_iter=1)",Performance,0.1,"gvn                 21.645667
instcombine          8.256547
ipsccp               5.087648
sccp                 3.900792
licm                 3.059932
inline               2.200285
print_used_types     1.456550
jump_threading       1.255069
dtype: float64","count    149.000000
mean       3.092050
std        3.151940
min        0.038867
25%        0.732689
50%        2.121096
75%        4.357998
max       17.175059
Name: % error, dtype: float64",14
4,RandomForest,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"root               NaN
time_passes        NaN
gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    149.000000
mean       3.250344
std        3.177630
min        0.061034
25%        1.325592
50%        2.361653
75%        4.068972
max       18.891431
Name: % error, dtype: float64",14
5,GradientBoostingTree,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"root               NaN
time_passes        NaN
gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    149.000000
mean       3.375190
std        3.320987
min        0.068599
25%        1.126067
50%        2.533204
75%        4.427256
max       20.117177
Name: % error, dtype: float64",14
6,DecisionTree,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"root               NaN
time_passes        NaN
gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    149.000000
mean       4.096903
std        4.294880
min        0.040445
25%        1.045877
50%        2.335647
75%        5.687922
max       19.467298
Name: % error, dtype: float64",14
7,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"gvn                 4.547143e+14
instcombine         4.547143e+14
licm                4.547143e+14
inline              4.547143e+14
jump_threading      4.547143e+14
simplifycfg         4.547143e+14
#yes                4.547143e+14
sccp                4.547143e+14
ipsccp              4.547143e+14
print_used_types    4.547143e+14
iv_users            4.547143e+14
time_passes         1.789919e+13
dtype: float64","count    132.000000
mean       1.971879
std        2.430524
min        0.032300
25%        0.528621
50%        1.126087
75%        2.202862
max       13.454675
Name: % error, dtype: float64",14
8,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.2, max_iter=10)",Performance,0.2,"gvn                 21.707595
instcombine         12.401102
licm                10.852963
inline               5.859696
iv_users             5.264669
print_used_types     2.646413
ipsccp               2.624563
sccp                 1.563946
#yes                 0.322559
dtype: float64","count    132.000000
mean       2.035702
std        2.534110
min        0.023489
25%        0.489775
50%        1.301860
75%        2.457504
max       14.405632
Name: % error, dtype: float64",14
9,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.2,"gvn                 18.246733
iv_users             9.432632
instcombine          9.275352
licm                 8.298339
print_used_types     6.861273
ipsccp               6.584406
sccp                 5.197016
#yes                 4.806176
inline               3.300045
simplifycfg          3.266857
jump_threading       2.972109
dtype: float64","count    132.000000
mean       1.969588
std        2.429077
min        0.017305
25%        0.496301
50%        1.288845
75%        2.381316
max       13.606098
Name: % error, dtype: float64",14
