,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",LinearRegression(),Performance,0.1,"instcombine    9.718104
#yes           6.971208
licm           5.861131
gvn            0.033009
dtype: float64","count    158.000000
mean       4.349461
std        3.271058
min        0.028250
25%        1.876054
50%        3.401822
75%        6.393112
max       15.322178
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')","Lasso(alpha=4, max_iter=5)",Performance,0.1,"#yes    5.369659
dtype: float64","count    158.000000
mean       5.055318
std        3.684047
min        0.098001
25%        2.293676
50%        4.472992
75%        6.981424
max       17.145801
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",Ridge(alpha=10),Performance,0.1,"#yes           5.638569
instcombine    3.008363
licm           1.929809
gvn            0.366050
dtype: float64","count    158.000000
mean       4.753924
std        3.510274
min        0.002494
25%        1.825276
50%        4.208110
75%        6.705611
max       16.133033
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')","ElasticNet(alpha=4, l1_ratio=1.0, max_iter=5)",Performance,0.1,"#yes    5.369659
dtype: float64","count    158.000000
mean       5.055318
std        3.684047
min        0.098001
25%        2.293676
50%        4.472992
75%        6.981424
max       17.145801
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",LinearRegression(),Performance,0.1,"licm           36.458953
instcombine    31.780394
#yes           11.602204
gvn             3.461248
dtype: float64","count    158.000000
mean       5.009394
std        5.388189
min        0.019200
25%        1.317944
50%        3.441009
75%        6.491191
max       25.125466
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",RandomForestRegressor(),Performance,0.1,"gvn           NaN
#yes          NaN
licm          NaN
instcombine   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.759423
std        4.139326
min        0.059249
25%        1.232157
50%        3.687670
75%        7.598237
max       17.152079
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"gvn           NaN
#yes          NaN
licm          NaN
instcombine   NaN
Name: % error, dtype: float64","count    158.000000
mean       5.595675
std        4.759358
min        0.019087
25%        1.523623
50%        4.364123
75%        9.387001
max       18.898777
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"gvn           NaN
#yes          NaN
licm          NaN
instcombine   NaN
Name: % error, dtype: float64","count    158.000000
mean       5.766183
std        4.604342
min        0.027987
25%        1.572591
50%        5.142331
75%        9.623536
max       19.234858
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",LinearRegression(),Performance,0.2,"gvn            12.520105
instcombine    12.187878
licm           10.988434
#yes            4.889456
dtype: float64","count    140.000000
mean       3.108651
std        2.866484
min        0.013911
25%        1.032073
50%        2.362808
75%        4.412174
max       14.536272
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')","Lasso(alpha=0.3, max_iter=1)",Performance,0.2,"gvn            12.618596
instcombine    10.654118
licm           10.087360
#yes            5.835546
dtype: float64","count    140.000000
mean       3.259116
std        2.980433
min        0.002871
25%        1.061784
50%        2.424757
75%        4.784242
max       14.498745
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",Ridge(alpha=4),Performance,0.2,"licm           7.580660
gvn            7.421115
instcombine    7.379170
#yes           5.541296
dtype: float64","count    140.000000
mean       3.504130
std        2.880410
min        0.064010
25%        1.399088
50%        2.626088
75%        5.302544
max       13.702888
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.0, max_iter=1)",Performance,0.2,"gvn            9.855928
licm           8.031530
instcombine    7.972638
#yes           5.993323
dtype: float64","count    140.000000
mean       3.391176
std        2.940958
min        0.030549
25%        1.286728
50%        2.325963
75%        4.721746
max       14.503592
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",LinearRegression(),Performance,0.2,"instcombine    23.221291
licm           21.537778
gvn            14.214582
#yes            4.273202
dtype: float64","count    140.000000
mean       3.398710
std        2.906212
min        0.075630
25%        1.137752
50%        2.569398
75%        4.592188
max       15.052172
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",RandomForestRegressor(),Performance,0.2,"gvn           NaN
#yes          NaN
licm          NaN
instcombine   NaN
Name: % error, dtype: float64","count    140.000000
mean       2.962306
std        2.620756
min        0.004517
25%        0.887341
50%        2.303560
75%        4.054393
max       11.885663
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"gvn           NaN
#yes          NaN
licm          NaN
instcombine   NaN
Name: % error, dtype: float64","count    140.000000
mean       3.350756
std        2.893017
min        0.013835
25%        1.063907
50%        2.620885
75%        4.799637
max       12.266731
Name: % error, dtype: float64",4
15,DecisionTree,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"gvn           NaN
#yes          NaN
licm          NaN
instcombine   NaN
Name: % error, dtype: float64","count    140.000000
mean       3.185249
std        3.138376
min        0.007562
25%        0.902208
50%        2.518164
75%        4.299331
max       18.046458
Name: % error, dtype: float64",4
16,LinearRegression,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",LinearRegression(),Performance,0.3,"instcombine    13.802711
gvn            13.218002
licm            8.104845
#yes            4.183225
dtype: float64","count    123.000000
mean       3.067880
std        3.152707
min        0.028008
25%        0.903038
50%        2.123506
75%        3.941449
max       15.965852
Name: % error, dtype: float64",4
17,Lasso,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')","Lasso(alpha=0.3, max_iter=1)",Performance,0.3,"gvn            16.232560
instcombine    12.490431
licm            6.908968
#yes            5.363822
dtype: float64","count    123.000000
mean       3.224504
std        3.315377
min        0.038579
25%        1.026332
50%        1.959260
75%        4.696125
max       16.496533
Name: % error, dtype: float64",4
18,Ridge,False,DecisionTree,"Index(['gvn', '#yes', 'licm', 'instcombine'], dtype='object')",Ridge(alpha=2),Performance,0.3,"instcombine    11.586008
gvn            10.768191
licm            6.969215
#yes            4.749553
dtype: float64","count    123.000000
mean       3.211294
std        3.158429
min        0.008959
25%        1.030784
50%        2.506062
75%        4.142609
max       15.341482
Name: % error, dtype: float64",4
