,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,14,False,None,LinearRegression,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:12.935628
10,distBased,1.0,14,False,None,Lasso,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:12.976584
20,distBased,1.0,14,False,None,Ridge,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:13.031469
30,distBased,1.0,14,False,None,ElasticNet,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:13.091552
40,distBased,1.0,14,False,None,PolynomialRegression,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:13.095059
50,distBased,1.0,14,False,None,RandomForest,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:13.475143
60,distBased,1.0,14,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:13.860549
70,distBased,1.0,14,False,None,DecisionTree,0.1,False,2024-03-30 14:17:10.258188,2024-03-30 14:17:14.183189
80,distBased,1.0,14,False,None,LinearRegression,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:17.199239
90,distBased,1.0,14,False,None,Lasso,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:17.523103
100,distBased,1.0,14,False,None,Ridge,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:17.835144
110,distBased,1.0,14,False,None,ElasticNet,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:18.161751
120,distBased,1.0,14,False,None,PolynomialRegression,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:18.165265
130,distBased,1.0,14,False,None,RandomForest,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:18.803788
140,distBased,1.0,14,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:19.451865
150,distBased,1.0,14,False,None,DecisionTree,0.2,False,2024-03-30 14:17:14.186507,2024-03-30 14:17:20.015809
160,distBased,1.0,14,False,None,LinearRegression,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:23.354115
170,distBased,1.0,14,False,None,Lasso,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:23.946465
180,distBased,1.0,14,False,None,Ridge,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:24.555217
190,distBased,1.0,14,False,None,ElasticNet,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:25.131263
200,distBased,1.0,14,False,None,PolynomialRegression,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:25.134754
210,distBased,1.0,14,False,None,RandomForest,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:26.030274
220,distBased,1.0,14,False,None,GradientBoostingTree,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:26.954316
230,distBased,1.0,14,False,None,DecisionTree,0.3,False,2024-03-30 14:17:20.019127,2024-03-30 14:17:27.794120
240,distBased,1.0,14,False,None,LinearRegression,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:31.459387
250,distBased,1.0,14,False,None,Lasso,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:32.514123
260,distBased,1.0,14,False,None,Ridge,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:33.342097
270,distBased,1.0,14,False,None,ElasticNet,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:34.181456
280,distBased,1.0,14,False,None,PolynomialRegression,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:34.184961
290,distBased,1.0,14,False,None,RandomForest,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:35.323922
300,distBased,1.0,14,False,None,GradientBoostingTree,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:36.482430
310,distBased,1.0,14,False,None,DecisionTree,0.4,False,2024-03-30 14:17:27.797394,2024-03-30 14:17:37.558065
320,distBased,1.0,14,False,None,LinearRegression,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:41.626326
330,distBased,1.0,14,False,None,Lasso,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:42.794216
340,distBased,1.0,14,False,None,Ridge,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:43.966444
350,distBased,1.0,14,False,None,ElasticNet,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:45.145072
360,distBased,1.0,14,False,None,PolynomialRegression,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:45.149009
370,distBased,1.0,14,False,None,RandomForest,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:46.658299
380,distBased,1.0,14,False,None,GradientBoostingTree,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:48.146276
390,distBased,1.0,14,False,None,DecisionTree,0.5,False,2024-03-30 14:17:37.561414,2024-03-30 14:17:49.514635
400,distBased,1.0,14,False,None,LinearRegression,0.6,False,2024-03-30 14:17:49.517979,2024-03-30 14:17:53.846111
