,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,14,False,None,LinearRegression,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:16.747493
10,distBased,1.0,14,False,None,Lasso,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:16.784488
20,distBased,1.0,14,False,None,Ridge,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:16.844642
30,distBased,1.0,14,False,None,ElasticNet,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:16.903786
40,distBased,1.0,14,False,None,PolynomialRegression,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:16.907351
50,distBased,1.0,14,False,None,RandomForest,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:17.269348
60,distBased,1.0,14,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:17.653363
70,distBased,1.0,14,False,None,DecisionTree,0.1,False,2024-03-30 14:17:13.974468,2024-03-30 14:17:17.960408
80,distBased,1.0,14,False,None,LinearRegression,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:20.992591
90,distBased,1.0,14,False,None,Lasso,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:21.303837
100,distBased,1.0,14,False,None,Ridge,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:21.626447
110,distBased,1.0,14,False,None,ElasticNet,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:21.954255
120,distBased,1.0,14,False,None,PolynomialRegression,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:21.957883
130,distBased,1.0,14,False,None,RandomForest,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:22.566852
140,distBased,1.0,14,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:23.208790
150,distBased,1.0,14,False,None,DecisionTree,0.2,False,2024-03-30 14:17:17.963674,2024-03-30 14:17:23.799325
