,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,42,False,None,LinearRegression,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:35.828908
10,distBased,1.0,42,False,None,Lasso,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:35.970555
20,distBased,1.0,42,False,None,Ridge,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:36.027476
30,distBased,1.0,42,False,None,ElasticNet,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:36.059340
40,distBased,1.0,42,False,None,PolynomialRegression,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:36.062724
50,distBased,1.0,42,False,None,RandomForest,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:36.325770
60,distBased,1.0,42,False,None,GradientBoostingTree,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:36.544021
70,distBased,1.0,42,False,None,DecisionTree,0.1,False,2024-02-09 17:16:32.832825,2024-02-09 17:16:36.699525
80,distBased,1.0,42,False,None,LinearRegression,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:41.443184
90,distBased,1.0,42,False,None,Lasso,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:41.713781
100,distBased,1.0,42,False,None,Ridge,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:41.885505
110,distBased,1.0,42,False,None,ElasticNet,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:42.120733
120,distBased,1.0,42,False,None,PolynomialRegression,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:42.124325
130,distBased,1.0,42,False,None,RandomForest,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:42.566243
140,distBased,1.0,42,False,None,GradientBoostingTree,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:42.935935
150,distBased,1.0,42,False,None,DecisionTree,0.2,False,2024-02-09 17:16:36.702809,2024-02-09 17:16:43.222709
160,distBased,1.0,42,False,None,LinearRegression,0.3,False,2024-02-09 17:16:43.226669,2024-02-09 17:16:51.840053
170,distBased,1.0,42,False,None,Lasso,0.3,False,2024-02-09 17:16:43.226669,2024-02-09 17:16:52.257519
180,distBased,1.0,42,False,None,Ridge,0.3,False,2024-02-09 17:16:43.226669,2024-02-09 17:16:52.813819
