,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly_parallel                     4.002038e+14
polly                              3.279148e+14
none                               3.279148e+14
polly_vectorizer                   2.475432e+14
polly_no_tiling                    1.832895e+14
polly_opt_simplify_deps            1.832895e+14
#yes                               1.832895e+14
value_based                        1.367529e+14
memory_based                       1.367529e+14
pollyrtcmaxparameters_16           1.084831e+14
pollyrtcmaxparameters_2            1.084831e+14
pollyrtcmaxparameters_8            1.084831e+14
pollyrtcmaxparameters_4            1.084831e+14
pollyrtcmaxparameters_1            1.084831e+14
polly_dependences_analysis_type    1.076728e+14
pollydefaulttilesize_256           7.970501e+13
pollydefaulttilesize_64            7.970501e+13
pollydefaulttilesize_1024          7.970501e+13
pollydefaulttilesize_4             7.970501e+13
pollydefaulttilesize_16            7.970501e+13
pollyrtcmaxparameters              6.346012e+13
polly_delinearize                  5.564044e+13
min                                4.750805e+13
max                                4.750805e+13
parallel_force                     3.362477e+13
parallel                           3.362477e+13
pollyoptmaxconstantterm_10000      2.442338e+13
pollyoptmaxconstantterm_1000       2.442338e+13
pollyoptmaxconstantterm_100        2.442338e+13
pollyoptmaxconstantterm_1          2.442338e+13
pollyoptmaxconstantterm_10         2.442338e+13
polly_opt_fusion                   1.511929e+13
pollyoptmaxcoefficient_1           6.657495e+12
pollyoptmaxcoefficient_10000       6.657495e+12
pollyoptmaxcoefficient_1000        6.657495e+12
pollyoptmaxcoefficient_100         6.657495e+12
pollyoptmaxcoefficient_10          6.657495e+12
pollyoptmaxconstantterm            3.521574e+12
root                               4.701479e+09
dtype: float64","count    1955.000000
mean       23.735427
std        43.863075
min         0.010752
25%         4.631218
50%        10.341151
75%        19.565258
max       394.699647
Name: % error, dtype: float64",42
1,Lasso,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","Lasso(alpha=0.2, max_iter=5)",Performance,0.1,"min                        5.066800e+00
value_based                4.255538e+00
polly_no_tiling            2.945921e+00
none                       1.537575e+00
#yes                       1.161170e+00
pollyrtcmaxparameters_1    1.069801e+00
parallel                   8.570808e-01
polly_opt_simplify_deps    8.140339e-01
pollyrtcmaxparameters_4    3.171849e-02
memory_based               3.284668e-15
polly                      1.466931e-15
dtype: float64","count    1955.000000
mean       24.235709
std        49.655113
min         0.005693
25%         4.915540
50%         9.337835
75%        16.356570
max       427.128953
Name: % error, dtype: float64",42
2,Ridge,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"min                              2.701657
max                              2.701657
memory_based                     2.479823
value_based                      2.479823
polly_no_tiling                  2.239616
#yes                             1.849649
pollyrtcmaxparameters_1          1.433398
parallel_force                   1.355254
none                             1.092360
polly                            1.092360
pollyrtcmaxparameters_16         1.002377
pollyrtcmaxparameters_2          0.972289
polly_opt_simplify_deps          0.913807
pollyrtcmaxparameters_4          0.905142
pollydefaulttilesize_256         0.820852
parallel                         0.703367
polly_parallel                   0.651887
pollydefaulttilesize_16          0.606968
pollyoptmaxconstantterm_10000    0.538748
pollyoptmaxconstantterm_1000     0.470978
pollyoptmaxconstantterm_10       0.450412
pollyrtcmaxparameters_8          0.363874
pollyoptmaxcoefficient_1         0.325981
pollyoptmaxconstantterm_1        0.305472
pollyoptmaxconstantterm_100      0.253842
pollyoptmaxcoefficient_10        0.253649
pollyoptmaxcoefficient_100       0.235475
pollydefaulttilesize_4           0.212588
pollyoptmaxcoefficient_10000     0.201670
pollydefaulttilesize_1024        0.060376
pollydefaulttilesize_64          0.059080
pollyoptmaxcoefficient_1000      0.038527
dtype: float64","count    1955.000000
mean       24.109526
std        47.542443
min         0.000739
25%         4.465027
50%         9.712255
75%        17.767426
max       423.613519
Name: % error, dtype: float64",42
3,ElasticNet,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","ElasticNet(alpha=0.2, l1_ratio=1.0, max_iter=5)",Performance,0.1,"min                        5.066800e+00
value_based                4.255538e+00
polly_no_tiling            2.945921e+00
none                       1.537575e+00
#yes                       1.161170e+00
pollyrtcmaxparameters_1    1.069801e+00
parallel                   8.570808e-01
polly_opt_simplify_deps    8.140339e-01
pollyrtcmaxparameters_4    3.171849e-02
memory_based               3.284668e-15
polly                      1.466931e-15
dtype: float64","count    1955.000000
mean       24.235709
std        49.655113
min         0.005693
25%         4.915540
50%         9.337835
75%        16.356570
max       427.128953
Name: % error, dtype: float64",42
4,RandomForest,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                                318.336867
min                                  0.000469
root                                      NaN
polly_vectorizer                          NaN
none                                      NaN
polly                                     NaN
polly_parallel                            NaN
parallel                                  NaN
parallel_force                            NaN
polly_no_tiling                           NaN
polly_delinearize                         NaN
polly_dependences_analysis_type           NaN
value_based                               NaN
memory_based                              NaN
polly_opt_fusion                          NaN
polly_opt_simplify_deps                   NaN
pollyrtcmaxparameters                     NaN
pollyrtcmaxparameters_1                   NaN
pollyrtcmaxparameters_2                   NaN
pollyrtcmaxparameters_4                   NaN
pollyrtcmaxparameters_8                   NaN
pollyrtcmaxparameters_16                  NaN
pollyoptmaxconstantterm                   NaN
pollyoptmaxconstantterm_1                 NaN
pollyoptmaxconstantterm_10                NaN
pollyoptmaxconstantterm_100               NaN
pollyoptmaxconstantterm_1000              NaN
pollyoptmaxconstantterm_10000             NaN
pollyoptmaxcoefficient                    NaN
pollyoptmaxcoefficient_1                  NaN
pollyoptmaxcoefficient_10                 NaN
pollyoptmaxcoefficient_100                NaN
pollyoptmaxcoefficient_1000               NaN
pollyoptmaxcoefficient_10000              NaN
pollydefaulttilesize                      NaN
pollydefaulttilesize_4                    NaN
pollydefaulttilesize_16                   NaN
pollydefaulttilesize_64                   NaN
pollydefaulttilesize_256                  NaN
pollydefaulttilesize_1024                 NaN
#yes                                      NaN
Name: % error, dtype: float64","count    1955.000000
mean        7.936433
std        25.936448
min         0.000469
25%         0.740458
50%         1.608680
75%         3.660263
max       318.336867
Name: % error, dtype: float64",42
5,GradientBoostingTree,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                                173.441918
min                                  0.000761
root                                      NaN
polly_vectorizer                          NaN
none                                      NaN
polly                                     NaN
polly_parallel                            NaN
parallel                                  NaN
parallel_force                            NaN
polly_no_tiling                           NaN
polly_delinearize                         NaN
polly_dependences_analysis_type           NaN
value_based                               NaN
memory_based                              NaN
polly_opt_fusion                          NaN
polly_opt_simplify_deps                   NaN
pollyrtcmaxparameters                     NaN
pollyrtcmaxparameters_1                   NaN
pollyrtcmaxparameters_2                   NaN
pollyrtcmaxparameters_4                   NaN
pollyrtcmaxparameters_8                   NaN
pollyrtcmaxparameters_16                  NaN
pollyoptmaxconstantterm                   NaN
pollyoptmaxconstantterm_1                 NaN
pollyoptmaxconstantterm_10                NaN
pollyoptmaxconstantterm_100               NaN
pollyoptmaxconstantterm_1000              NaN
pollyoptmaxconstantterm_10000             NaN
pollyoptmaxcoefficient                    NaN
pollyoptmaxcoefficient_1                  NaN
pollyoptmaxcoefficient_10                 NaN
pollyoptmaxcoefficient_100                NaN
pollyoptmaxcoefficient_1000               NaN
pollyoptmaxcoefficient_10000              NaN
pollydefaulttilesize                      NaN
pollydefaulttilesize_4                    NaN
pollydefaulttilesize_16                   NaN
pollydefaulttilesize_64                   NaN
pollydefaulttilesize_256                  NaN
pollydefaulttilesize_1024                 NaN
#yes                                      NaN
Name: % error, dtype: float64","count    1955.000000
mean        5.269663
std        12.729282
min         0.000761
25%         0.859066
50%         1.943591
75%         3.975298
max       173.441918
Name: % error, dtype: float64",42
6,DecisionTree,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                                176.874206
root                                      NaN
polly_vectorizer                          NaN
none                                      NaN
polly                                     NaN
polly_parallel                            NaN
parallel                                  NaN
parallel_force                            NaN
polly_no_tiling                           NaN
polly_delinearize                         NaN
polly_dependences_analysis_type           NaN
value_based                               NaN
memory_based                              NaN
polly_opt_fusion                          NaN
polly_opt_simplify_deps                   NaN
pollyrtcmaxparameters                     NaN
pollyrtcmaxparameters_1                   NaN
pollyrtcmaxparameters_2                   NaN
pollyrtcmaxparameters_4                   NaN
pollyrtcmaxparameters_8                   NaN
pollyrtcmaxparameters_16                  NaN
pollyoptmaxconstantterm                   NaN
pollyoptmaxconstantterm_1                 NaN
pollyoptmaxconstantterm_10                NaN
pollyoptmaxconstantterm_100               NaN
pollyoptmaxconstantterm_1000              NaN
pollyoptmaxconstantterm_10000             NaN
pollyoptmaxcoefficient                    NaN
pollyoptmaxcoefficient_1                  NaN
pollyoptmaxcoefficient_10                 NaN
pollyoptmaxcoefficient_100                NaN
pollyoptmaxcoefficient_1000               NaN
pollyoptmaxcoefficient_10000              NaN
pollydefaulttilesize                      NaN
pollydefaulttilesize_4                    NaN
pollydefaulttilesize_16                   NaN
pollydefaulttilesize_64                   NaN
pollydefaulttilesize_256                  NaN
pollydefaulttilesize_1024                 NaN
#yes                                      NaN
Name: % error, dtype: float64","count    1955.000000
mean        4.094473
std        14.447324
min         0.000000
25%         0.441843
50%         1.417704
75%         2.812802
max       176.874206
Name: % error, dtype: float64",42
7,LinearRegression,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"none                               6.142261e+13
polly                              6.142261e+13
value_based                        3.004040e+13
memory_based                       3.004040e+13
polly_vectorizer                   1.441516e+13
pollyoptmaxcoefficient_100         1.279997e+13
pollyoptmaxcoefficient_1000        1.279997e+13
pollyoptmaxcoefficient_10          1.279997e+13
pollyoptmaxcoefficient_10000       1.279997e+13
pollyoptmaxcoefficient_1           1.279997e+13
pollydefaulttilesize_16            1.117006e+13
pollydefaulttilesize_64            1.117006e+13
pollydefaulttilesize_4             1.117006e+13
pollydefaulttilesize_256           1.117006e+13
pollydefaulttilesize_1024          1.117006e+13
pollyoptmaxconstantterm_10         9.964185e+12
pollyoptmaxconstantterm_1          9.964185e+12
pollyoptmaxconstantterm_10000      9.964185e+12
pollyoptmaxconstantterm_1000       9.964185e+12
pollyoptmaxconstantterm_100        9.964185e+12
min                                9.935823e+12
max                                9.935823e+12
parallel_force                     6.765756e+12
parallel                           6.765756e+12
#yes                               4.607380e+12
polly_opt_simplify_deps            4.607380e+12
polly_no_tiling                    4.607380e+12
polly_delinearize                  3.594495e+12
polly_parallel                     2.449004e+12
pollyrtcmaxparameters              2.162459e+12
pollyoptmaxconstantterm            2.002945e+12
polly_opt_fusion                   7.634149e+11
pollyrtcmaxparameters_1            7.489650e+11
pollyrtcmaxparameters_4            7.489650e+11
pollyrtcmaxparameters_16           7.489650e+11
pollyrtcmaxparameters_2            7.489650e+11
pollyrtcmaxparameters_8            7.489650e+11
polly_dependences_analysis_type    2.117948e+11
root                               6.003819e+09
dtype: float64","count    1738.000000
mean       22.648572
std        39.844055
min         0.021853
25%         5.108628
50%        10.930329
75%        19.886374
max       357.155477
Name: % error, dtype: float64",42
8,Lasso,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=5)",Performance,0.2,"min                           5.834946e+00
value_based                   5.607158e+00
polly_no_tiling               4.789482e+00
polly_opt_simplify_deps       2.622608e+00
none                          2.336668e+00
parallel                      1.678995e+00
pollyoptmaxcoefficient_100    4.706424e-01
#yes                          4.226940e-01
pollyrtcmaxparameters_1       3.886110e-01
pollydefaulttilesize_16       1.787980e-01
pollydefaulttilesize_1024     5.708305e-02
max                           7.110670e-16
polly                         1.331932e-16
dtype: float64","count    1738.000000
mean       23.021412
std        42.883064
min         0.002366
25%         5.266528
50%        10.351100
75%        17.809733
max       370.902370
Name: % error, dtype: float64",42
9,Ridge,False,None,"Index(['root', 'polly_vectorizer', 'none', 'polly', 'polly_parallel',
       'parallel', 'parallel_force', 'polly_no_tiling', 'polly_delinearize',
       'polly_dependences_analysis_type', 'value_based', 'memory_based',
       'polly_opt_fusion', 'min', 'max', 'polly_opt_simplify_deps',
       'pollyrtcmaxparameters', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm', 'pollyoptmaxconstantterm_1',
       'pollyoptmaxconstantterm_10', 'pollyoptmaxconstantterm_100',
       'pollyoptmaxconstantterm_1000', 'pollyoptmaxconstantterm_10000',
       'pollyoptmaxcoefficient', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_16', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"polly_no_tiling                  3.245923
min                              3.011264
max                              3.011264
memory_based                     2.925582
value_based                      2.925582
#yes                             1.884033
parallel_force                   1.698536
polly                            1.338192
none                             1.338192
polly_parallel                   1.309791
polly_opt_simplify_deps          1.257693
pollyoptmaxcoefficient_100       0.776112
pollyrtcmaxparameters_1          0.726748
pollydefaulttilesize_16          0.484978
pollydefaulttilesize_1024        0.437577
parallel                         0.388744
pollyrtcmaxparameters_8          0.379728
pollyrtcmaxparameters_2          0.330025
pollyoptmaxcoefficient_1         0.303604
pollyoptmaxconstantterm_10       0.291556
pollyoptmaxcoefficient_10000     0.236819
pollydefaulttilesize_256         0.208151
pollyoptmaxcoefficient_10        0.169263
pollyrtcmaxparameters_16         0.157769
pollyoptmaxconstantterm_100      0.155975
pollyrtcmaxparameters_4          0.140775
pollyoptmaxconstantterm_1000     0.120571
pollyoptmaxconstantterm_10000    0.097193
pollyoptmaxconstantterm_1        0.082183
pollydefaulttilesize_4           0.081134
pollydefaulttilesize_64          0.079616
pollyoptmaxcoefficient_1000      0.066427
dtype: float64","count    1738.000000
mean       23.005069
std        42.325016
min         0.036430
25%         5.085291
50%        10.497953
75%        18.866316
max       376.347132
Name: % error, dtype: float64",42
