,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",LinearRegression(),Performance,0.1,"none                       1.559098e+15
polly                      1.559098e+15
min                        7.842478e+14
max                        7.842478e+14
value_based                3.513924e+14
memory_based               3.513924e+14
polly_no_tiling            4.369409e+00
parallel                   2.586914e+00
pollydefaulttilesize_4     1.250000e+00
pollydefaulttilesize_64    5.625000e-01
dtype: float64","count    1955.000000
mean       26.037733
std        45.229215
min         0.017170
25%         6.513194
50%        12.804944
75%        21.505236
max       304.025671
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')","Lasso(alpha=0.02, max_iter=1)",Performance,0.1,"value_based                6.892529e+00
min                        5.957293e+00
polly_no_tiling            3.898118e+00
none                       2.786932e+00
parallel                   2.180507e+00
pollydefaulttilesize_4     8.850770e-01
pollydefaulttilesize_64    1.132137e-02
max                        1.258405e-15
polly                      1.340763e-16
dtype: float64","count    1955.000000
mean       26.094752
std        42.639773
min         0.002335
25%         7.490242
50%        14.277067
75%        20.856452
max       283.967093
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"polly_no_tiling            4.121681
memory_based               3.552047
value_based                3.552047
min                        2.843279
max                        2.843279
parallel                   1.924847
none                       1.384565
polly                      1.384565
pollydefaulttilesize_4     1.121994
pollydefaulttilesize_64    0.113109
dtype: float64","count    1955.000000
mean       25.907367
std        42.424398
min         0.000994
25%         7.245985
50%        14.024561
75%        21.038740
max       284.236455
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=1.0, max_iter=1)",Performance,0.1,"value_based                6.892529e+00
min                        5.957293e+00
polly_no_tiling            3.898118e+00
none                       2.786932e+00
parallel                   2.180507e+00
pollydefaulttilesize_4     8.850770e-01
pollydefaulttilesize_64    1.132137e-02
max                        1.258405e-15
polly                      1.340763e-16
dtype: float64","count    1955.000000
mean       26.094752
std        42.639773
min         0.002335
25%         7.490242
50%        14.277067
75%        20.856452
max       283.967093
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",LinearRegression(),Performance,0.1,"value_based                4.623167e+14
pollydefaulttilesize_4     3.088638e+14
parallel                   2.259192e+14
pollydefaulttilesize_64    2.227211e+14
none                       1.101803e+14
max                        7.435049e+13
memory_based               5.409947e+13
min                        1.375671e+13
polly                      1.136523e+13
polly_no_tiling            3.334931e+09
dtype: float64","count    1955.000000
mean       11.440156
std        14.216541
min         0.014335
25%         3.370871
50%         7.873377
75%        12.917785
max       105.659277
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                        18.675816
min                         0.000650
polly_no_tiling                  NaN
value_based                      NaN
memory_based                     NaN
parallel                         NaN
pollydefaulttilesize_4           NaN
none                             NaN
polly                            NaN
pollydefaulttilesize_64          NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.902320
std         2.665450
min         0.000650
25%         0.438662
50%         1.033216
75%         2.115154
max        18.675816
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                        25.744397
min                         0.000395
polly_no_tiling                  NaN
value_based                      NaN
memory_based                     NaN
parallel                         NaN
pollydefaulttilesize_4           NaN
none                             NaN
polly                            NaN
pollydefaulttilesize_64          NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.263250
std         3.751348
min         0.000395
25%         0.474634
50%         1.166603
75%         2.265769
max        25.744397
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                        25.571726
polly_no_tiling                  NaN
value_based                      NaN
memory_based                     NaN
parallel                         NaN
pollydefaulttilesize_4           NaN
none                             NaN
polly                            NaN
pollydefaulttilesize_64          NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.777235
std         2.825064
min         0.000000
25%         0.393348
50%         0.925287
75%         1.926357
max        25.571726
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')",LinearRegression(),Performance,0.2,"min                        6.615857e+14
max                        6.615857e+14
memory_based               2.932046e+14
value_based                2.932046e+14
polly                      1.733416e+13
none                       1.733416e+13
polly_no_tiling            4.481176e+00
parallel                   1.515625e+00
pollydefaulttilesize_4     1.312500e+00
pollydefaulttilesize_64    3.125000e-01
dtype: float64","count    1738.000000
mean       25.561712
std        43.193966
min         0.002917
25%         7.217171
50%        13.456419
75%        21.066413
max       295.274212
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'min', 'max', 'value_based', 'memory_based',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_64'],
      dtype='object')","Lasso(alpha=0.01, max_iter=10)",Performance,0.2,"value_based               7.158926e+00
min                       5.846507e+00
polly_no_tiling           4.306909e+00
none                      1.758560e+00
parallel                  1.542376e+00
pollydefaulttilesize_4    9.783198e-01
memory_based              8.695601e-15
max                       5.345493e-15
polly                     3.389562e-17
dtype: float64","count    1738.000000
mean       25.737759
std        44.187627
min         0.001613
25%         6.856080
50%        13.680795
75%        20.092244
max       296.774424
Name: % error, dtype: float64",10
