,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",LinearRegression(),Performance,0.1,"min                          2.824139e+14
max                          2.824139e+14
memory_based                 5.921875e+00
polly_no_tiling              5.375000e+00
parallel                     3.791626e+00
none                         2.527344e+00
pollydefaulttilesize_256     1.257812e+00
pollydefaulttilesize_64      9.235840e-01
pollydefaulttilesize_1024    7.304688e-01
pollydefaulttilesize_4       4.570312e-01
dtype: float64","count    1955.000000
mean       24.071391
std        44.320361
min         0.022787
25%         6.324178
50%        10.743331
75%        17.966803
max       304.888104
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')","Lasso(alpha=0.1, max_iter=10)",Performance,0.1,"memory_based       5.204490
polly_no_tiling    4.913280
max                3.730154
parallel           3.150337
none               2.150059
min                1.465246
dtype: float64","count    1955.000000
mean       24.391280
std        47.849195
min         0.022285
25%         6.642470
50%        10.105515
75%        16.863999
max       336.924989
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"memory_based                 5.320150
polly_no_tiling              4.931874
parallel                     3.391003
min                          2.701662
max                          2.701662
none                         2.355179
pollydefaulttilesize_256     0.932252
pollydefaulttilesize_64      0.674177
pollydefaulttilesize_1024    0.575545
pollydefaulttilesize_4       0.371626
dtype: float64","count    1955.000000
mean       24.346319
std        46.887959
min         0.028784
25%         6.269747
50%        10.363274
75%        17.157908
max       325.378648
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=10)",Performance,0.1,"memory_based       5.204490
polly_no_tiling    4.913280
max                3.730154
parallel           3.150337
none               2.150059
min                1.465246
dtype: float64","count    1955.000000
mean       24.391280
std        47.849195
min         0.022285
25%         6.642470
50%        10.105515
75%        16.863999
max       336.924989
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",LinearRegression(),Performance,0.1,"pollydefaulttilesize_1024    1.036536e+13
parallel                     5.557774e+12
pollydefaulttilesize_4       3.994002e+12
polly_no_tiling              2.998685e+12
memory_based                 2.057144e+12
pollydefaulttilesize_256     1.878559e+12
none                         1.686703e+12
pollydefaulttilesize_64      1.270827e+12
min                          3.701843e+11
max                          1.192637e+11
dtype: float64","count    1955.000000
mean        8.689075
std        11.473188
min         0.003591
25%         2.290019
50%         5.845206
75%        10.932879
max        82.199156
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                          36.578637
min                           0.000863
polly_no_tiling                    NaN
memory_based                       NaN
none                               NaN
parallel                           NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
pollydefaulttilesize_64            NaN
pollydefaulttilesize_256           NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.445216
std         4.892055
min         0.000863
25%         0.520016
50%         1.166918
75%         2.369404
max        36.578637
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                          55.100402
min                           0.001188
polly_no_tiling                    NaN
memory_based                       NaN
none                               NaN
parallel                           NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
pollydefaulttilesize_64            NaN
pollydefaulttilesize_256           NaN
Name: % error, dtype: float64","count    1955.000000
mean        3.333535
std         6.803832
min         0.001188
25%         0.577500
50%         1.330468
75%         2.632630
max        55.100402
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                          38.460695
polly_no_tiling                    NaN
memory_based                       NaN
none                               NaN
parallel                           NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
pollydefaulttilesize_64            NaN
pollydefaulttilesize_256           NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.834076
std         3.535702
min         0.000000
25%         0.401725
50%         0.993586
75%         2.059705
max        38.460695
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')",LinearRegression(),Performance,0.2,"min                          1.417496e+13
max                          1.417496e+13
memory_based                 6.083069e+00
polly_no_tiling              5.867188e+00
parallel                     3.326538e+00
none                         3.142334e+00
pollydefaulttilesize_1024    1.236206e+00
pollydefaulttilesize_256     8.447876e-01
pollydefaulttilesize_64      7.307739e-01
pollydefaulttilesize_4       5.030518e-01
dtype: float64","count    1738.000000
mean       23.674524
std        41.243656
min         0.027667
25%         6.742862
50%        11.100662
75%        19.734137
max       293.661661
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'memory_based', 'none', 'parallel', 'min',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256'],
      dtype='object')","Lasso(alpha=0.05, max_iter=10)",Performance,0.2,"memory_based                 5.740922
polly_no_tiling              5.635571
max                          3.753332
parallel                     3.023266
none                         2.940178
min                          1.923247
pollydefaulttilesize_1024    0.507189
pollydefaulttilesize_256     0.000090
dtype: float64","count    1738.000000
mean       23.807665
std        43.067835
min         0.012943
25%         6.606996
50%        10.429534
75%        18.996748
max       311.394453
Name: % error, dtype: float64",10
