,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",LinearRegression(),Performance,0.1,"parallel                    5.944804e+14
parallel_force              5.944804e+14
polly_parallel              5.944804e+14
min                         1.990916e+14
max                         1.990916e+14
pollyrtcmaxparameters_8     1.507466e+14
pollyrtcmaxparameters_4     1.507466e+14
pollyrtcmaxparameters_16    1.507466e+14
pollyrtcmaxparameters_1     1.507466e+14
pollyrtcmaxparameters_2     1.507466e+14
dtype: float64","count    1955.000000
mean       20.932763
std        39.623439
min         0.002551
25%         2.648338
50%         6.058598
75%        17.737726
max       238.058775
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"max                        4.349717e+00
parallel                   1.710884e+00
pollyrtcmaxparameters_4    8.012939e-01
pollyrtcmaxparameters_2    5.762114e-02
min                        5.922200e-16
dtype: float64","count    1955.000000
mean       20.343008
std        40.324690
min         0.004812
25%         1.414643
50%         3.992931
75%        16.165716
max       244.379771
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"max                         2.159013
min                         2.159013
parallel                    1.415264
polly_parallel              0.977254
pollyrtcmaxparameters_4     0.789502
pollyrtcmaxparameters_8     0.683760
pollyrtcmaxparameters_2     0.586556
pollyrtcmaxparameters_1     0.470999
parallel_force              0.438011
pollyrtcmaxparameters_16    0.415708
dtype: float64","count    1955.000000
mean       20.618212
std        40.245539
min         0.008178
25%         2.028848
50%         4.574642
75%        16.553763
max       242.876412
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.0, max_iter=100)",Performance,0.1,"max                         1.973958
min                         1.973958
parallel                    1.176613
polly_parallel              0.674883
pollyrtcmaxparameters_4     0.649446
parallel_force              0.501730
pollyrtcmaxparameters_8     0.483835
pollyrtcmaxparameters_2     0.472028
pollyrtcmaxparameters_1     0.332508
pollyrtcmaxparameters_16    0.328745
dtype: float64","count    1955.000000
mean       20.557857
std        40.792273
min         0.001130
25%         2.079912
50%         4.482629
75%        15.795538
max       245.785074
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",LinearRegression(),Performance,0.1,"pollyrtcmaxparameters_1     1.758600e+14
max                         1.295564e+14
pollyrtcmaxparameters_4     7.537671e+13
parallel                    7.411376e+13
pollyrtcmaxparameters_8     7.261093e+13
parallel_force              2.978226e+13
pollyrtcmaxparameters_16    2.645116e+13
pollyrtcmaxparameters_2     1.530150e+13
polly_parallel              3.083744e+12
min                         2.462392e+12
dtype: float64","count    1.955000e+03
mean     1.790940e+13
std      9.999916e+13
min      1.862942e-03
25%      1.951485e+00
50%      6.430210e+00
75%      2.151977e+01
max      1.499372e+15
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                         228.915761
min                           0.000977
polly_parallel                     NaN
pollyrtcmaxparameters_8            NaN
pollyrtcmaxparameters_2            NaN
pollyrtcmaxparameters_4            NaN
pollyrtcmaxparameters_16           NaN
pollyrtcmaxparameters_1            NaN
parallel_force                     NaN
parallel                           NaN
Name: % error, dtype: float64","count    1955.000000
mean       19.997536
std        39.714258
min         0.000977
25%         0.575808
50%         3.322909
75%        20.229992
max       228.915761
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                         229.337201
min                           0.000002
polly_parallel                     NaN
pollyrtcmaxparameters_8            NaN
pollyrtcmaxparameters_2            NaN
pollyrtcmaxparameters_4            NaN
pollyrtcmaxparameters_16           NaN
pollyrtcmaxparameters_1            NaN
parallel_force                     NaN
parallel                           NaN
Name: % error, dtype: float64","count    1955.000000
mean       20.050144
std        39.380558
min         0.000002
25%         0.583130
50%         3.408178
75%        20.372967
max       229.337201
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                         2.295925e+02
min                         2.301726e-14
polly_parallel                       NaN
pollyrtcmaxparameters_8              NaN
pollyrtcmaxparameters_2              NaN
pollyrtcmaxparameters_4              NaN
pollyrtcmaxparameters_16             NaN
pollyrtcmaxparameters_1              NaN
parallel_force                       NaN
parallel                             NaN
Name: % error, dtype: float64","count    1.955000e+03
mean     2.000259e+01
std      3.946674e+01
min      2.301726e-14
25%      5.692360e-01
50%      3.106426e+00
75%      2.062617e+01
max      2.295925e+02
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')",LinearRegression(),Performance,0.2,"pollyrtcmaxparameters_8     2.669358e+14
pollyrtcmaxparameters_4     2.669358e+14
pollyrtcmaxparameters_16    2.669358e+14
pollyrtcmaxparameters_1     2.669358e+14
pollyrtcmaxparameters_2     2.669358e+14
min                         2.575816e+13
max                         2.575816e+13
polly_parallel              5.725685e+12
parallel_force              5.725685e+12
parallel                    5.725685e+12
dtype: float64","count    1738.000000
mean       20.810537
std        41.702632
min         0.001348
25%         1.088945
50%         5.831950
75%        15.777902
max       252.235099
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_parallel', 'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_2',
       'pollyrtcmaxparameters_4', 'pollyrtcmaxparameters_16',
       'pollyrtcmaxparameters_1', 'max', 'min', 'parallel_force', 'parallel'],
      dtype='object')","Lasso(alpha=0.02, max_iter=1)",Performance,0.2,"max                         4.196602
polly_parallel              2.794612
parallel_force              2.049870
pollyrtcmaxparameters_8     1.845209
pollyrtcmaxparameters_2     0.278045
pollyrtcmaxparameters_4     0.160798
pollyrtcmaxparameters_16    0.142985
parallel                    0.106610
dtype: float64","count    1738.000000
mean       20.718790
std        41.928884
min         0.002077
25%         0.831763
50%         5.542410
75%        15.358582
max       252.896520
Name: % error, dtype: float64",10
