,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly                     1.944702e+14
none                      1.944702e+14
value_based               1.310959e+14
memory_based              1.310959e+14
max                       5.242562e+13
min                       5.242562e+13
polly_no_tiling           2.910296e+00
pollydefaulttilesize_4    2.595215e+00
parallel                  1.714844e+00
parallel_force            2.421875e-01
dtype: float64","count    1955.000000
mean       17.578207
std        30.917934
min         0.005822
25%         3.928444
50%        10.256264
75%        14.036757
max       231.953642
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')","Lasso(alpha=0.02, max_iter=5)",Performance,0.1,"min                4.664669e+00
memory_based       3.924688e+00
polly_no_tiling    2.811255e+00
parallel           1.900098e+00
polly              1.048048e+00
parallel_force     4.488729e-02
value_based        1.310452e-15
max                6.580223e-16
none               6.565652e-16
dtype: float64","count    1955.000000
mean       17.540822
std        30.885536
min         0.007487
25%         3.834075
50%        10.386784
75%        13.937339
max       199.512571
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"polly_no_tiling           2.703883
max                       2.294297
min                       2.294297
value_based               1.935062
memory_based              1.935062
parallel                  1.476405
polly                     0.559761
none                      0.559761
pollydefaulttilesize_4    0.507125
parallel_force            0.466104
dtype: float64","count    1955.000000
mean       17.628031
std        31.215776
min         0.003153
25%         4.072218
50%        10.177962
75%        13.849013
max       206.888050
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=1.0, max_iter=5)",Performance,0.1,"min                4.664669e+00
memory_based       3.924688e+00
polly_no_tiling    2.811255e+00
parallel           1.900098e+00
polly              1.048048e+00
parallel_force     4.488729e-02
value_based        1.310452e-15
max                6.580223e-16
none               6.565652e-16
dtype: float64","count    1955.000000
mean       17.540822
std        30.885536
min         0.007487
25%         3.834075
50%        10.386784
75%        13.937339
max       199.512571
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly_no_tiling           8.886508e+13
value_based               3.288083e+13
parallel                  2.664605e+13
none                      1.684234e+13
max                       1.676966e+13
polly                     1.642022e+13
min                       1.321753e+13
pollydefaulttilesize_4    1.308663e+13
memory_based              1.143592e+13
parallel_force            4.278940e+11
dtype: float64","count    1.955000e+03
mean     3.570731e+11
std      9.204797e+12
min      2.867301e-03
25%      3.443436e+00
50%      7.299235e+00
75%      1.086600e+01
max      3.854315e+14
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                       55.937248
min                        0.001587
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
parallel                        NaN
polly                           NaN
none                            NaN
parallel_force                  NaN
pollydefaulttilesize_4          NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.495460
std         4.681201
min         0.001587
25%         0.251972
50%         0.627591
75%         1.361249
max        55.937248
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                       61.579538
min                        0.001661
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
parallel                        NaN
polly                           NaN
none                            NaN
parallel_force                  NaN
pollydefaulttilesize_4          NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.407806
std         5.070370
min         0.001661
25%         0.273429
50%         0.682889
75%         1.244694
max        61.579538
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                       68.045769
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
parallel                        NaN
polly                           NaN
none                            NaN
parallel_force                  NaN
pollydefaulttilesize_4          NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.385297
std         5.599363
min         0.000000
25%         0.220684
50%         0.527335
75%         1.188876
max        68.045769
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')",LinearRegression(),Performance,0.2,"polly_no_tiling           2.866340
pollydefaulttilesize_4    2.739341
parallel                  2.710396
max                       2.320708
min                       2.320708
memory_based              2.182656
value_based               2.182656
parallel_force            0.674781
polly                     0.356670
none                      0.356670
dtype: float64","count    1738.000000
mean       17.732755
std        31.369152
min         0.031790
25%         3.339898
50%         9.964140
75%        14.230369
max       165.994934
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'memory_based', 'value_based', 'min', 'max',
       'parallel', 'polly', 'none', 'parallel_force',
       'pollydefaulttilesize_4'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.2,"min                4.478202e+00
memory_based       4.185090e+00
polly_no_tiling    2.688383e+00
parallel           1.874443e+00
polly              5.031662e-01
value_based        8.187541e-16
dtype: float64","count    1738.000000
mean       17.873999
std        32.233924
min         0.003052
25%         3.244304
50%        10.069333
75%        13.760231
max       205.092976
Name: % error, dtype: float64",10
