,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",LinearRegression(),Performance,0.1,"max                             4.847469
value_based                     3.939926
polly_no_tiling                 3.127110
pollydefaulttilesize_4          2.819133
parallel                        2.161201
pollyrtcmaxparameters_4         1.199696
polly                           1.141968
pollyoptmaxconstantterm_1000    0.441518
#yes                            0.201166
pollyrtcmaxparameters_1         0.159570
dtype: float64","count    1955.000000
mean       17.818349
std        30.925271
min         0.007632
25%         4.163119
50%         9.623139
75%        14.733303
max       232.143044
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')","Lasso(alpha=0.1, max_iter=5)",Performance,0.1,"max                        4.427883
value_based                3.631449
polly_no_tiling            2.444234
parallel                   1.680588
polly                      0.788272
pollyrtcmaxparameters_4    0.664419
dtype: float64","count    1955.000000
mean       17.785199
std        31.990461
min         0.000380
25%         3.841496
50%         9.525835
75%        13.741502
max       202.046067
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"max                             4.483843
value_based                     3.692593
polly_no_tiling                 2.652608
parallel                        2.002637
polly                           1.109628
pollyrtcmaxparameters_4         1.066932
pollydefaulttilesize_4          0.569279
pollyoptmaxconstantterm_1000    0.386948
pollyrtcmaxparameters_1         0.071784
#yes                            0.000558
dtype: float64","count    1955.000000
mean       17.849904
std        31.762287
min         0.000768
25%         3.901613
50%         9.338566
75%        13.990247
max       206.064426
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=5)",Performance,0.1,"max                        4.427883
value_based                3.631449
polly_no_tiling            2.444234
parallel                   1.680588
polly                      0.788272
pollyrtcmaxparameters_4    0.664419
dtype: float64","count    1955.000000
mean       17.785199
std        31.990461
min         0.000380
25%         3.841496
50%         9.525835
75%        13.741502
max       202.046067
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",LinearRegression(),Performance,0.1,"value_based                     1.334438e+12
#yes                            3.621087e+10
pollydefaulttilesize_4          4.023430e+09
max                             1.341143e+09
parallel                        1.341143e+09
pollyrtcmaxparameters_1         3.286293e+00
polly                           2.519621e+00
pollyoptmaxconstantterm_1000    1.484522e+00
polly_no_tiling                 6.040039e-01
pollyrtcmaxparameters_4         2.106323e-01
dtype: float64","count    1.955000e+03
mean     9.929951e+07
std      1.649175e+09
min      7.903121e-03
25%      3.589062e+00
50%      6.731896e+00
75%      1.044192e+01
max      3.801068e+10
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                             67.781244
value_based                           NaN
polly_no_tiling                       NaN
polly                                 NaN
parallel                              NaN
pollydefaulttilesize_4                NaN
#yes                                  NaN
pollyrtcmaxparameters_4               NaN
pollyrtcmaxparameters_1               NaN
pollyoptmaxconstantterm_1000          NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.183379
std         5.155500
min         0.001759
25%         0.320998
50%         0.779549
75%         1.860031
max        67.781244
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                             69.493219
value_based                           NaN
polly_no_tiling                       NaN
polly                                 NaN
parallel                              NaN
pollydefaulttilesize_4                NaN
#yes                                  NaN
pollyrtcmaxparameters_4               NaN
pollyrtcmaxparameters_1               NaN
pollyoptmaxconstantterm_1000          NaN
Name: % error, dtype: float64","count    1955.000000
mean        4.466355
std         7.780025
min         0.000257
25%         0.572972
50%         1.510744
75%         3.363750
max        69.493219
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                             30.876684
value_based                           NaN
polly_no_tiling                       NaN
polly                                 NaN
parallel                              NaN
pollydefaulttilesize_4                NaN
#yes                                  NaN
pollyrtcmaxparameters_4               NaN
pollyrtcmaxparameters_1               NaN
pollyoptmaxconstantterm_1000          NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.113039
std         1.910713
min         0.000000
25%         0.231845
50%         0.557420
75%         1.419815
max        30.876684
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')",LinearRegression(),Performance,0.2,"max                             4.667168
value_based                     4.372004
polly_no_tiling                 2.694000
pollydefaulttilesize_4          2.592029
parallel                        2.090020
polly                           0.735256
pollyrtcmaxparameters_4         0.325574
#yes                            0.159634
pollyoptmaxconstantterm_1000    0.118493
pollyrtcmaxparameters_1         0.042298
dtype: float64","count    1738.000000
mean       17.763177
std        31.385601
min         0.001308
25%         3.540532
50%        10.052169
75%        14.068027
max       165.814250
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'max', 'polly', 'parallel',
       'pollydefaulttilesize_4', '#yes', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_1', 'pollyoptmaxconstantterm_1000'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.2,"max                        4.454734
value_based                4.207694
polly_no_tiling            2.453031
parallel                   1.835762
polly                      0.510210
#yes                       0.203528
pollyrtcmaxparameters_4    0.076611
dtype: float64","count    1738.000000
mean       17.899480
std        32.223640
min         0.008350
25%         3.315669
50%        10.020801
75%        13.779333
max       203.764278
Name: % error, dtype: float64",10
