,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",LinearRegression(),Performance,0.1,"pollydefaulttilesize_4       1.349192e+15
pollydefaulttilesize_64      1.349192e+15
pollydefaulttilesize_16      1.349192e+15
pollydefaulttilesize_1024    1.349192e+15
pollydefaulttilesize_256     1.349192e+15
memory_based                 5.100841e+00
polly_no_tiling              5.045448e+00
max                          4.427462e+00
parallel                     1.776628e+00
polly                        5.613159e-01
dtype: float64","count    1955.000000
mean       24.048326
std        44.431731
min         0.010839
25%         4.770222
50%        13.925019
75%        20.613490
max       298.690293
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')","Lasso(alpha=0.1, max_iter=10)",Performance,0.1,"memory_based                 4.970819
max                          4.621374
polly_no_tiling              3.988007
parallel                     1.262075
pollydefaulttilesize_256     0.825433
polly                        0.504944
pollydefaulttilesize_1024    0.288834
pollydefaulttilesize_64      0.171171
dtype: float64","count    1955.000000
mean       24.119013
std        46.639155
min         0.003010
25%         4.549751
50%        12.912299
75%        18.852543
max       326.627368
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"memory_based                 5.016572
max                          4.634155
polly_no_tiling              4.150745
parallel                     1.625948
pollydefaulttilesize_256     1.020552
polly                        0.829700
pollydefaulttilesize_64      0.807814
pollydefaulttilesize_1024    0.575695
pollydefaulttilesize_4       0.459269
pollydefaulttilesize_16      0.329164
dtype: float64","count    1955.000000
mean       24.115160
std        45.100374
min         0.000817
25%         4.898999
50%        12.964421
75%        19.452680
max       306.041025
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=10)",Performance,0.1,"memory_based                 4.970819
max                          4.621374
polly_no_tiling              3.988007
parallel                     1.262075
pollydefaulttilesize_256     0.825433
polly                        0.504944
pollydefaulttilesize_1024    0.288834
pollydefaulttilesize_64      0.171171
dtype: float64","count    1955.000000
mean       24.119013
std        46.639155
min         0.003010
25%         4.549751
50%        12.912299
75%        18.852543
max       326.627368
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",LinearRegression(),Performance,0.1,"memory_based                 2.815195e+14
max                          2.169871e+14
pollydefaulttilesize_16      1.218155e+14
pollydefaulttilesize_1024    9.613664e+13
pollydefaulttilesize_256     9.106859e+13
pollydefaulttilesize_64      8.862145e+13
parallel                     8.069915e+13
pollydefaulttilesize_4       7.552338e+13
polly                        2.360506e+12
polly_no_tiling              9.567494e+10
dtype: float64","count    1955.000000
mean       11.286464
std        14.737474
min         0.022404
25%         4.173563
50%         7.715997
75%        11.004060
max        90.027216
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                          29.733461
polly_no_tiling                    NaN
memory_based                       NaN
parallel                           NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
pollydefaulttilesize_64            NaN
pollydefaulttilesize_256           NaN
pollydefaulttilesize_16            NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.863909
std         3.515756
min         0.000166
25%         0.355066
50%         0.983355
75%         1.943926
max        29.733461
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                          53.388555
polly_no_tiling                    NaN
memory_based                       NaN
parallel                           NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
pollydefaulttilesize_64            NaN
pollydefaulttilesize_256           NaN
pollydefaulttilesize_16            NaN
Name: % error, dtype: float64","count    1955.000000
mean        4.274498
std         7.918295
min         0.000261
25%         0.760066
50%         1.785306
75%         3.700139
max        53.388555
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                          24.157595
polly_no_tiling                    NaN
memory_based                       NaN
parallel                           NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
pollydefaulttilesize_64            NaN
pollydefaulttilesize_256           NaN
pollydefaulttilesize_16            NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.588107
std         2.871232
min         0.000000
25%         0.288405
50%         0.842606
75%         1.824880
max        24.157595
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')",LinearRegression(),Performance,0.2,"pollydefaulttilesize_16      2.374703e+14
pollydefaulttilesize_64      2.374703e+14
pollydefaulttilesize_4       2.374703e+14
pollydefaulttilesize_256     2.374703e+14
pollydefaulttilesize_1024    2.374703e+14
memory_based                 5.114025e+00
max                          4.659249e+00
polly_no_tiling              4.397902e+00
polly                        1.480640e+00
parallel                     1.445299e+00
dtype: float64","count    1738.000000
mean       23.846918
std        45.092566
min         0.004391
25%         3.909890
50%        12.951661
75%        18.388235
max       308.802003
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'parallel', 'polly',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_16'],
      dtype='object')","Lasso(alpha=0.05, max_iter=100)",Performance,0.2,"memory_based                 4.964228
max                          4.593131
polly_no_tiling              4.229073
parallel                     1.254704
polly                        1.188542
pollydefaulttilesize_16      0.626824
pollydefaulttilesize_64      0.559947
pollydefaulttilesize_1024    0.369070
dtype: float64","count    1738.000000
mean       23.947884
std        46.788274
min         0.003275
25%         3.544359
50%        13.080818
75%        17.995796
max       324.945462
Name: % error, dtype: float64",10
