,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",LinearRegression(),Performance,0.1,"min                          6.927786
value_based                  5.482526
polly_no_tiling              4.319679
parallel                     1.604666
pollydefaulttilesize_16      1.006575
none                         0.890433
pollydefaulttilesize_1024    0.556017
polly_opt_simplify_deps      0.490224
#yes                         0.191604
pollydefaulttilesize_4       0.057066
dtype: float64","count    1955.000000
mean       22.492489
std        37.353157
min         0.000522
25%         5.770112
50%        13.413824
75%        20.264745
max       240.267246
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')","Lasso(alpha=0.3, max_iter=1)",Performance,0.1,"min                5.861001
value_based        4.263242
polly_no_tiling    3.314670
parallel           0.414840
#yes               0.393591
dtype: float64","count    1955.000000
mean       22.930149
std        42.674050
min         0.012122
25%         4.405811
50%        12.239471
75%        17.899854
max       263.779279
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"min                          5.877923
value_based                  4.618905
polly_no_tiling              3.375547
parallel                     1.161318
pollydefaulttilesize_16      0.789528
none                         0.688864
pollydefaulttilesize_1024    0.563112
#yes                         0.428816
polly_opt_simplify_deps      0.310576
pollydefaulttilesize_4       0.052000
dtype: float64","count    1955.000000
mean       22.965011
std        41.711396
min         0.016876
25%         4.516579
50%        12.357366
75%        17.938910
max       265.890835
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')","ElasticNet(alpha=0.3, l1_ratio=1.0, max_iter=1)",Performance,0.1,"min                5.861001
value_based        4.263242
polly_no_tiling    3.314670
parallel           0.414840
#yes               0.393591
dtype: float64","count    1955.000000
mean       22.930149
std        42.674050
min         0.012122
25%         4.405811
50%        12.239471
75%        17.899854
max       263.779279
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",LinearRegression(),Performance,0.1,"value_based                  5.370661e+12
pollydefaulttilesize_1024    2.984971e+11
pollydefaulttilesize_16      2.984971e+11
pollydefaulttilesize_4       2.984971e+11
none                         1.279273e+11
polly_opt_simplify_deps      9.766061e+10
#yes                         6.860456e+10
polly_no_tiling              3.026672e+10
min                          8.114777e-01
parallel                     8.819580e-02
dtype: float64","count    1.955000e+03
mean     9.696691e+09
std      1.285769e+11
min      1.210459e-03
25%      2.974109e+00
50%      6.863056e+00
75%      1.180672e+01
max      2.932095e+12
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"min                          0.000747
value_based                       NaN
polly_no_tiling                   NaN
parallel                          NaN
pollydefaulttilesize_4            NaN
none                              NaN
pollydefaulttilesize_1024         NaN
pollydefaulttilesize_16           NaN
#yes                              NaN
polly_opt_simplify_deps           NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.047118
std         3.532403
min         0.000747
25%         0.407905
50%         1.031449
75%         2.103069
max        31.345368
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"min                          0.001417
value_based                       NaN
polly_no_tiling                   NaN
parallel                          NaN
pollydefaulttilesize_4            NaN
none                              NaN
pollydefaulttilesize_1024         NaN
pollydefaulttilesize_16           NaN
#yes                              NaN
polly_opt_simplify_deps           NaN
Name: % error, dtype: float64","count    1955.000000
mean        3.486373
std         8.123872
min         0.001417
25%         0.589112
50%         1.290752
75%         2.623672
max        65.072551
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"value_based                 NaN
polly_no_tiling             NaN
parallel                    NaN
pollydefaulttilesize_4      NaN
none                        NaN
pollydefaulttilesize_1024   NaN
pollydefaulttilesize_16     NaN
#yes                        NaN
polly_opt_simplify_deps     NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.486419
std         2.479370
min         0.000000
25%         0.306390
50%         0.843973
75%         1.934547
max        24.143986
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",LinearRegression(),Performance,0.2,"min                          5.817269
value_based                  5.098886
polly_no_tiling              3.662207
parallel                     1.414895
pollydefaulttilesize_16      1.193913
pollydefaulttilesize_4       0.768340
none                         0.538915
polly_opt_simplify_deps      0.432187
#yes                         0.192465
pollydefaulttilesize_1024    0.188761
dtype: float64","count    1738.000000
mean       23.569288
std        43.151903
min         0.007408
25%         4.387623
50%        12.629430
75%        17.563230
max       258.017935
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')","Lasso(alpha=0.1, max_iter=1)",Performance,0.2,"min                          5.515325
value_based                  4.648308
polly_no_tiling              3.335315
parallel                     1.115411
pollydefaulttilesize_1024    0.336477
#yes                         0.307165
pollydefaulttilesize_16      0.184803
none                         0.005189
dtype: float64","count    1738.000000
mean       23.796031
std        45.340185
min         0.008175
25%         3.845401
50%        12.285988
75%        16.624472
max       267.035360
Name: % error, dtype: float64",10
10,Ridge,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"min                          5.315150
value_based                  4.653369
polly_no_tiling              3.193152
parallel                     1.178841
pollydefaulttilesize_16      0.595681
none                         0.453205
polly_opt_simplify_deps      0.339854
#yes                         0.336063
pollydefaulttilesize_1024    0.331272
pollydefaulttilesize_4       0.195263
dtype: float64","count    1738.000000
mean       23.975869
std        45.534626
min         0.001169
25%         4.036734
50%        12.040890
75%        16.667772
max       272.147286
Name: % error, dtype: float64",10
11,ElasticNet,False,DecisionTree,"Index(['value_based', 'polly_no_tiling', 'min', 'parallel',
       'pollydefaulttilesize_4', 'none', 'pollydefaulttilesize_1024',
       'pollydefaulttilesize_16', '#yes', 'polly_opt_simplify_deps'],
      dtype='object')","ElasticNet(alpha=0.05, max_iter=1)",Performance,0.2,"min                          5.282805
value_based                  4.497621
polly_no_tiling              3.302347
parallel                     1.346023
pollydefaulttilesize_1024    0.615081
#yes                         0.336297
pollydefaulttilesize_16      0.321950
none                         0.293150
polly_opt_simplify_deps      0.252058
dtype: float64","count    1738.000000
mean       23.962584
std        45.903848
min         0.001777
25%         3.673145
50%        11.976046
75%        16.566780
max       272.640833
Name: % error, dtype: float64",10
