,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",LinearRegression(),Performance,0.1,"max                        9.475645e+14
min                        9.475645e+14
none                       1.991785e+14
polly                      1.991785e+14
memory_based               1.694492e+14
value_based                1.694492e+14
polly_no_tiling            9.231568e+00
polly_opt_simplify_deps    2.781250e+00
parallel                   2.375000e+00
pollydefaulttilesize_4     4.062500e-01
dtype: float64","count    1955.000000
mean       26.554887
std        31.636042
min         0.046806
25%         7.253175
50%        14.919355
75%        25.906385
max       198.850575
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"memory_based               9.368984e+00
polly_no_tiling            8.459502e+00
max                        7.782827e+00
polly                      4.455181e+00
polly_opt_simplify_deps    2.776592e+00
parallel                   2.018523e+00
value_based                8.527792e-15
none                       1.460963e-15
dtype: float64","count    1955.000000
mean       27.314334
std        34.193656
min         0.553255
25%         7.168258
50%        13.750345
75%        26.402128
max       214.613143
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"polly_no_tiling            8.094772
memory_based               4.635652
value_based                4.635652
max                        3.831893
min                        3.831893
polly_opt_simplify_deps    3.059165
polly                      2.286044
none                       2.286044
parallel                   2.077052
pollydefaulttilesize_4     0.244494
dtype: float64","count    1955.000000
mean       27.330750
std        34.724843
min         0.126887
25%         7.125323
50%        13.796818
75%        26.349237
max       217.196481
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=5)",Performance,0.1,"polly_no_tiling            7.539887
memory_based               6.986487
max                        6.670758
polly                      3.350620
polly_opt_simplify_deps    2.877494
value_based                2.299081
parallel                   1.883911
none                       1.258464
min                        0.970091
pollydefaulttilesize_4     0.163419
dtype: float64","count    1955.000000
mean       27.545124
std        34.982246
min         0.133459
25%         7.256568
50%        14.936478
75%        26.128268
max       219.232310
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",LinearRegression(),Performance,0.1,"memory_based               2.743750e+14
none                       2.682595e+14
value_based                2.560718e+14
min                        1.535560e+14
polly_opt_simplify_deps    1.530722e+14
polly                      1.434971e+14
pollydefaulttilesize_4     1.085340e+14
parallel                   8.794332e+13
max                        1.911085e+13
polly_no_tiling            1.864453e+00
dtype: float64","count    1955.000000
mean        7.512976
std         9.619309
min         0.002738
25%         1.699279
50%         3.860894
75%         9.398034
max        65.889949
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                        50.149763
min                         0.004157
polly_no_tiling                  NaN
memory_based                     NaN
value_based                      NaN
pollydefaulttilesize_4           NaN
polly                            NaN
none                             NaN
parallel                         NaN
polly_opt_simplify_deps          NaN
Name: % error, dtype: float64","count    1955.000000
mean        3.569873
std         7.042186
min         0.004157
25%         0.653314
50%         1.392750
75%         2.816985
max        50.149763
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                        60.477993
min                         0.000538
polly_no_tiling                  NaN
memory_based                     NaN
value_based                      NaN
pollydefaulttilesize_4           NaN
polly                            NaN
none                             NaN
parallel                         NaN
polly_opt_simplify_deps          NaN
Name: % error, dtype: float64","count    1955.000000
mean        3.404689
std         6.719310
min         0.000538
25%         0.652100
50%         1.400133
75%         2.792856
max        60.477993
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                        5.137931e+01
min                        1.587450e-14
polly_no_tiling                     NaN
memory_based                        NaN
value_based                         NaN
pollydefaulttilesize_4              NaN
polly                               NaN
none                                NaN
parallel                            NaN
polly_opt_simplify_deps             NaN
Name: % error, dtype: float64","count    1.955000e+03
mean     3.243797e+00
std      6.427304e+00
min      1.587450e-14
25%      5.602561e-01
50%      1.304601e+00
75%      2.535340e+00
max      5.137931e+01
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')",LinearRegression(),Performance,0.2,"none                       1.162668e+15
polly                      1.162668e+15
memory_based               2.604014e+14
value_based                2.604014e+14
min                        1.948258e+14
max                        1.948258e+14
polly_no_tiling            7.491840e+00
polly_opt_simplify_deps    2.371094e+00
parallel                   1.222656e+00
pollydefaulttilesize_4     8.203125e-02
dtype: float64","count    1738.000000
mean       27.050157
std        33.745802
min         0.088232
25%         5.781560
50%        16.086738
75%        27.973247
max       216.091954
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min',
       'pollydefaulttilesize_4', 'polly', 'none', 'parallel',
       'polly_opt_simplify_deps'],
      dtype='object')","Lasso(alpha=0.02, max_iter=5)",Performance,0.2,"memory_based               9.394091e+00
max                        8.711102e+00
polly_no_tiling            7.595942e+00
polly                      4.076404e+00
polly_opt_simplify_deps    2.273832e+00
parallel                   1.189806e+00
min                        1.093676e+00
pollydefaulttilesize_4     7.095814e-02
none                       2.115784e-15
value_based                1.318831e-16
dtype: float64","count    1738.000000
mean       27.055335
std        32.336423
min         0.023156
25%         7.232295
50%        15.381454
75%        27.059259
max       211.703320
Name: % error, dtype: float64",10
