,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,42,False,None,LinearRegression,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:41.405825
10,distBased,1.0,42,False,None,Lasso,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:41.826108
20,distBased,1.0,42,False,None,Ridge,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:42.279443
30,distBased,1.0,42,False,None,ElasticNet,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:42.761505
40,distBased,1.0,42,False,None,PolynomialRegression,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:42.765315
50,distBased,1.0,42,False,None,RandomForest,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:43.477442
60,distBased,1.0,42,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:44.030699
70,distBased,1.0,42,False,None,DecisionTree,0.1,False,2024-03-30 14:18:36.245079,2024-03-30 14:18:44.456419
80,distBased,1.0,42,False,None,LinearRegression,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:31.009924
90,distBased,1.0,42,False,None,Lasso,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:32.248699
100,distBased,1.0,42,False,None,Ridge,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:33.242766
110,distBased,1.0,42,False,None,ElasticNet,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:34.529964
120,distBased,1.0,42,False,None,PolynomialRegression,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:34.533638
130,distBased,1.0,42,False,None,RandomForest,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:35.711139
140,distBased,1.0,42,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:36.609841
150,distBased,1.0,42,False,None,DecisionTree,0.2,False,2024-03-30 14:18:44.459956,2024-03-30 14:22:37.343076
160,distBased,1.0,42,False,None,LinearRegression,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:24:55.333890
170,distBased,1.0,42,False,None,Lasso,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:24:56.623190
180,distBased,1.0,42,False,None,Ridge,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:24:57.786566
190,distBased,1.0,42,False,None,ElasticNet,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:24:59.230469
200,distBased,1.0,42,False,None,PolynomialRegression,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:24:59.235662
210,distBased,1.0,42,False,None,RandomForest,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:25:00.883559
220,distBased,1.0,42,False,None,GradientBoostingTree,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:25:02.159820
230,distBased,1.0,42,False,None,DecisionTree,0.3,False,2024-03-30 14:22:37.346433,2024-03-30 14:25:03.209846
240,distBased,1.0,42,False,None,LinearRegression,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:18.387121
250,distBased,1.0,42,False,None,Lasso,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:20.159295
260,distBased,1.0,42,False,None,Ridge,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:21.535514
270,distBased,1.0,42,False,None,ElasticNet,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:23.273407
280,distBased,1.0,42,False,None,PolynomialRegression,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:23.278660
290,distBased,1.0,42,False,None,RandomForest,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:25.353543
300,distBased,1.0,42,False,None,GradientBoostingTree,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:26.890834
310,distBased,1.0,42,False,None,DecisionTree,0.4,False,2024-03-30 14:25:03.213292,2024-03-30 14:30:28.200038
320,distBased,1.0,42,False,None,LinearRegression,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:28.639436
330,distBased,1.0,42,False,None,Lasso,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:31.390448
340,distBased,1.0,42,False,None,Ridge,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:33.846389
350,distBased,1.0,42,False,None,ElasticNet,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:36.644920
360,distBased,1.0,42,False,None,PolynomialRegression,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:36.650495
370,distBased,1.0,42,False,None,RandomForest,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:40.342697
380,distBased,1.0,42,False,None,GradientBoostingTree,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:43.462345
390,distBased,1.0,42,False,None,DecisionTree,0.5,False,2024-03-30 14:30:28.203333,2024-03-30 14:35:46.078976
400,distBased,1.0,42,False,None,LinearRegression,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:40:55.907186
410,distBased,1.0,42,False,None,Lasso,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:40:58.153859
420,distBased,1.0,42,False,None,Ridge,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:41:00.194012
430,distBased,1.0,42,False,None,ElasticNet,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:41:02.548933
440,distBased,1.0,42,False,None,PolynomialRegression,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:41:02.556296
450,distBased,1.0,42,False,None,RandomForest,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:41:05.258646
460,distBased,1.0,42,False,None,GradientBoostingTree,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:41:07.338150
470,distBased,1.0,42,False,None,DecisionTree,0.6,False,2024-03-30 14:35:46.083937,2024-03-30 14:41:09.027655
480,distBased,1.0,42,False,None,LinearRegression,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:31.141476
490,distBased,1.0,42,False,None,Lasso,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:33.597683
500,distBased,1.0,42,False,None,Ridge,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:35.660104
510,distBased,1.0,42,False,None,ElasticNet,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:38.235420
520,distBased,1.0,42,False,None,PolynomialRegression,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:38.243041
530,distBased,1.0,42,False,None,RandomForest,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:41.494727
540,distBased,1.0,42,False,None,GradientBoostingTree,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:43.946584
550,distBased,1.0,42,False,None,DecisionTree,0.7,False,2024-03-30 14:41:09.031053,2024-03-30 14:46:46.084275
560,distBased,1.0,42,False,None,LinearRegression,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:26.728521
570,distBased,1.0,42,False,None,Lasso,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:29.817719
580,distBased,1.0,42,False,None,Ridge,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:32.281627
590,distBased,1.0,42,False,None,ElasticNet,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:35.334324
600,distBased,1.0,42,False,None,PolynomialRegression,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:35.338045
610,distBased,1.0,42,False,None,RandomForest,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:39.006086
620,distBased,1.0,42,False,None,GradientBoostingTree,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:41.816269
630,distBased,1.0,42,False,None,DecisionTree,0.8,False,2024-03-30 14:46:46.087740,2024-03-30 14:51:44.230925
640,distBased,1.0,42,False,None,LinearRegression,0.9,False,2024-03-30 14:51:44.234398,2024-03-30 14:56:20.324763
650,distBased,1.0,42,False,None,Lasso,0.9,False,2024-03-30 14:51:44.234398,2024-03-30 14:56:22.582899
660,distBased,1.0,42,False,None,Ridge,0.9,False,2024-03-30 14:51:44.234398,2024-03-30 14:56:24.961002
670,distBased,1.0,42,False,None,ElasticNet,0.9,False,2024-03-30 14:51:44.234398,2024-03-30 14:56:27.506801
680,distBased,1.0,42,False,None,PolynomialRegression,0.9,False,2024-03-30 14:51:44.234398,2024-03-30 14:56:27.513264
