,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,42,False,None,LinearRegression,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:42.745467
10,distBased,1.0,42,False,None,Lasso,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:43.154953
20,distBased,1.0,42,False,None,Ridge,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:43.673705
30,distBased,1.0,42,False,None,ElasticNet,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:44.281668
40,distBased,1.0,42,False,None,PolynomialRegression,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:44.288705
50,distBased,1.0,42,False,None,RandomForest,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:44.923191
60,distBased,1.0,42,False,None,GradientBoostingTree,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:45.459568
70,distBased,1.0,42,False,None,DecisionTree,0.1,False,2024-03-30 14:18:37.766193,2024-03-30 14:18:45.924927
80,distBased,1.0,42,False,None,LinearRegression,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:33.386085
90,distBased,1.0,42,False,None,Lasso,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:34.555834
100,distBased,1.0,42,False,None,Ridge,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:35.316278
110,distBased,1.0,42,False,None,ElasticNet,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:36.200666
120,distBased,1.0,42,False,None,PolynomialRegression,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:36.208550
130,distBased,1.0,42,False,None,RandomForest,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:37.351291
140,distBased,1.0,42,False,None,GradientBoostingTree,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:38.224771
150,distBased,1.0,42,False,None,DecisionTree,0.2,False,2024-03-30 14:18:45.931545,2024-03-30 14:23:38.940245
160,distBased,1.0,42,False,None,LinearRegression,0.3,False,2024-03-30 14:23:38.943586,2024-03-30 14:27:18.313284
