,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.1,"no_mbtree    31.59463
dtype: float64","count    191.000000
mean       4.391489
std        7.839393
min        0.028106
25%        1.464271
50%        2.904386
75%        5.243760
max       57.207198
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",Lasso(max_iter=1),Performance,0.1,"no_mbtree    27.511296
dtype: float64","count    191.000000
mean       4.457360
std        7.790820
min        0.163996
25%        1.428904
50%        3.085218
75%        4.976699
max       56.826538
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",Ridge(),Performance,0.1,"no_mbtree    26.451318
dtype: float64","count    191.000000
mean       4.479392
std        7.787459
min        0.008248
25%        1.314625
50%        3.321156
75%        4.988090
max       56.727724
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.1, max_iter=1)",Performance,0.1,"no_mbtree    23.074074
dtype: float64","count    191.000000
mean       4.627350
std        7.763862
min        0.189720
25%        1.340146
50%        3.169061
75%        5.162409
max       56.412887
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.1,"no_mbtree    10.531543
dtype: float64","count    191.000000
mean       4.391489
std        7.839393
min        0.028106
25%        1.464271
50%        2.904386
75%        5.243760
max       57.207198
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",RandomForestRegressor(),Performance,0.1,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    191.000000
mean       4.391838
std        7.848127
min        0.097659
25%        1.592210
50%        2.878117
75%        5.202216
max       57.271323
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    191.000000
mean       4.391489
std        7.839383
min        0.028289
25%        1.464091
50%        2.904209
75%        5.243754
max       57.207120
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    191.000000
mean       4.391489
std        7.839393
min        0.028106
25%        1.464271
50%        2.904386
75%        5.243760
max       57.207198
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.2,"no_mbtree    29.871587
dtype: float64","count    170.000000
mean       4.630361
std        8.207845
min        0.288434
25%        1.461181
50%        2.999291
75%        5.213217
max       56.898950
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')","Lasso(alpha=0.5, max_iter=1)",Performance,0.2,"no_mbtree    27.871587
dtype: float64","count    170.000000
mean       4.663744
std        8.194845
min        0.344524
25%        1.332020
50%        3.389150
75%        5.485279
max       56.735810
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",Ridge(alpha=0.5),Performance,0.2,"no_mbtree    28.513788
dtype: float64","count    170.000000
mean       4.653025
std        8.197307
min        0.465187
25%        1.411078
50%        3.263966
75%        5.375723
max       56.788194
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=1)",Performance,0.2,"no_mbtree    27.857824
dtype: float64","count    170.000000
mean       4.663974
std        8.194810
min        0.341938
25%        1.329460
50%        3.391833
75%        5.487627
max       56.734687
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.2,"no_mbtree    9.957196
dtype: float64","count    170.000000
mean       4.630361
std        8.207845
min        0.288434
25%        1.461181
50%        2.999291
75%        5.213217
max       56.898950
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",RandomForestRegressor(),Performance,0.2,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    170.000000
mean       4.629569
std        8.208329
min        0.280054
25%        1.459923
50%        2.990684
75%        5.209559
max       56.902551
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    170.000000
mean       4.630375
std        8.207837
min        0.288585
25%        1.461108
50%        2.999446
75%        5.213345
max       56.898885
Name: % error, dtype: float64",4
15,DecisionTree,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    170.000000
mean       4.630361
std        8.207845
min        0.288434
25%        1.461181
50%        2.999291
75%        5.213217
max       56.898950
Name: % error, dtype: float64",4
16,LinearRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.3,"no_mbtree    30.579905
dtype: float64","count    149.000000
mean       4.917173
std        8.729184
min        0.003498
25%        1.355934
50%        3.413027
75%        5.282809
max       57.024414
Name: % error, dtype: float64",4
17,Lasso,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')","Lasso(alpha=0.01, max_iter=1)",Performance,0.3,"no_mbtree    30.539652
dtype: float64","count    149.000000
mean       4.917763
std        8.728645
min        0.003535
25%        1.363063
50%        3.420301
75%        5.276147
max       57.021391
Name: % error, dtype: float64",4
18,Ridge,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",Ridge(alpha=0.05),Performance,0.3,"no_mbtree    30.482522
dtype: float64","count    149.000000
mean       4.918666
std        8.727853
min        0.013518
25%        1.373182
50%        3.430625
75%        5.272635
max       57.017101
Name: % error, dtype: float64",4
19,ElasticNet,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=1)",Performance,0.3,"no_mbtree    30.539652
dtype: float64","count    149.000000
mean       4.917763
std        8.728645
min        0.003535
25%        1.363063
50%        3.420301
75%        5.276147
max       57.021391
Name: % error, dtype: float64",4
20,PolynomialRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.3,"no_mbtree    1.019330e+01
ref_5        1.166815e-61
dtype: float64","count    149.000000
mean       4.917173
std        8.729184
min        0.003498
25%        1.355934
50%        3.413027
75%        5.282809
max       57.024414
Name: % error, dtype: float64",4
21,RandomForest,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",RandomForestRegressor(),Performance,0.3,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    149.000000
mean       4.920753
std        8.726856
min        0.016381
25%        1.376084
50%        3.433586
75%        5.245586
max       57.015870
Name: % error, dtype: float64",4
22,GradientBoostingTree,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",GradientBoostingRegressor(),Performance,0.3,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    149.000000
mean       4.917184
std        8.729174
min        0.003356
25%        1.356078
50%        3.413174
75%        5.282675
max       57.024353
Name: % error, dtype: float64",4
23,DecisionTree,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",DecisionTreeRegressor(),Performance,0.3,"ref_1       NaN
no_mbtree   NaN
ref_9       NaN
ref_5       NaN
Name: % error, dtype: float64","count    149.000000
mean       4.917173
std        8.729184
min        0.003498
25%        1.355934
50%        3.413027
75%        5.282809
max       57.024414
Name: % error, dtype: float64",4
24,LinearRegression,False,DecisionTree,"Index(['ref_1', 'no_mbtree', 'ref_9', 'ref_5'], dtype='object')",LinearRegression(),Performance,0.4,"ref_1        79.568222
ref_5        79.568222
no_mbtree    31.263023
dtype: float64","count    128.000000
mean       4.384690
std        6.385760
min        0.018093
25%        1.486174
50%        3.206232
75%        5.004837
max       43.959991
Name: % error, dtype: float64",4
