,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            180.445685
ref_1            175.849137
no_mixed_refs     71.085208
ref_5              4.596548
dtype: float64","count    191.000000
mean      10.390749
std        6.821705
min        0.138911
25%        4.915049
50%        9.308713
75%       15.304853
max       31.649391
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=2, max_iter=100)",Performance,0.1,"ref_9            173.975322
ref_1            166.946731
no_mixed_refs     59.271728
dtype: float64","count    191.000000
mean       9.994429
std        6.842845
min        0.073565
25%        5.177381
50%        8.835923
75%       14.266151
max       32.031598
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.8),Performance,0.1,"ref_9            158.232211
ref_1            157.072083
no_mixed_refs     53.740081
ref_5              1.160128
dtype: float64","count    191.000000
mean      10.402073
std        7.458367
min        0.103753
25%        5.310538
50%        9.068200
75%       14.398330
max       35.952950
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.0, max_iter=100)",Performance,0.1,"ref_9            152.473123
ref_1            152.025059
no_mixed_refs     49.658517
ref_5              0.448064
dtype: float64","count    191.000000
mean      10.786743
std        7.659048
min        0.007701
25%        5.331349
50%        9.046621
75%       15.087350
max       37.222815
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            117.825611
ref_1            108.243556
no_mixed_refs     32.416841
ref_5              9.582056
dtype: float64","count    191.000000
mean       8.590817
std        6.717824
min        0.250580
25%        3.788585
50%        6.481981
75%       12.945804
max       28.561809
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.1,"ref_1           NaN
ref_9           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       8.667454
std        6.188939
min        0.027357
25%        3.486166
50%        7.824062
75%       13.403700
max       22.108576
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"ref_1           NaN
ref_9           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       8.590967
std        6.717763
min        0.250372
25%        3.790241
50%        6.483680
75%       12.946098
max       28.560521
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"ref_1           NaN
ref_9           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       8.590817
std        6.717824
min        0.250580
25%        3.788585
50%        6.481981
75%       12.945804
max       28.561809
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_9            175.155724
ref_1            172.648643
no_mixed_refs     64.501974
ref_5              2.507081
dtype: float64","count    170.000000
mean      10.202084
std        6.326638
min        0.020664
25%        5.681544
50%        9.265775
75%       14.600354
max       29.600697
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=0.2, max_iter=100)",Performance,0.2,"ref_1            173.551336
ref_9            173.265309
no_mixed_refs     63.660059
ref_5              2.932930
dtype: float64","count    170.000000
mean      10.168634
std        6.315905
min        0.032230
25%        5.649108
50%        9.116727
75%       14.523015
max       29.510978
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.01),Performance,0.2,"ref_9            175.031787
ref_1            172.530299
no_mixed_refs     64.434809
ref_5              2.501488
dtype: float64","count    170.000000
mean      10.200509
std        6.327372
min        0.026634
25%        5.695076
50%        9.247029
75%       14.560353
max       29.634936
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.01, max_iter=5)",Performance,0.2,"ref_1            219.324376
ref_9            124.216833
no_mixed_refs     63.096657
ref_5             50.017468
dtype: float64","count    170.000000
mean      10.160660
std        6.346699
min        0.015384
25%        5.355294
50%        9.010333
75%       14.699431
max       30.014053
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_1            101.018651
ref_9             95.843373
no_mixed_refs     28.554150
ref_5              5.175278
dtype: float64","count    170.000000
mean       8.054549
std        5.247032
min        0.197092
25%        3.640250
50%        6.779710
75%       12.249310
max       19.473098
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.2,"ref_1           NaN
ref_9           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    170.000000
mean       8.055873
std        5.261283
min        0.271279
25%        3.785819
50%        6.648608
75%       12.168371
max       19.764843
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"ref_1           NaN
ref_9           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    170.000000
mean       8.054725
std        5.247053
min        0.197977
25%        3.639430
50%        6.779818
75%       12.248493
max       19.472804
Name: % error, dtype: float64",4
15,DecisionTree,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"ref_1           NaN
ref_9           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    170.000000
mean       8.054549
std        5.247032
min        0.197092
25%        3.640250
50%        6.779710
75%       12.249310
max       19.473098
Name: % error, dtype: float64",4
16,LinearRegression,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.3,"ref_1            174.450543
ref_9            171.424770
no_mixed_refs     48.921846
ref_5              3.025772
dtype: float64","count    149.000000
mean       9.764809
std        6.294832
min        0.209656
25%        5.035434
50%        8.509398
75%       14.600596
max       25.636236
Name: % error, dtype: float64",4
17,Lasso,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.3,"ref_1            245.274010
ref_9            100.554933
ref_5             67.768682
no_mixed_refs     48.876208
dtype: float64","count    149.000000
mean       9.764152
std        6.295155
min        0.206431
25%        5.032365
50%        8.506867
75%       14.616722
max       25.630770
Name: % error, dtype: float64",4
18,Ridge,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.01),Performance,0.3,"ref_1            174.372030
ref_9            171.346983
no_mixed_refs     48.875942
ref_5              3.025048
dtype: float64","count    149.000000
mean       9.763909
std        6.296422
min        0.214471
25%        5.040017
50%        8.499600
75%       14.606522
max       25.659091
Name: % error, dtype: float64",4
19,ElasticNet,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=5)",Performance,0.3,"ref_1            245.274010
ref_9            100.554933
ref_5             67.768682
no_mixed_refs     48.876208
dtype: float64","count    149.000000
mean       9.764152
std        6.295155
min        0.206431
25%        5.032365
50%        8.506867
75%       14.616722
max       25.630770
Name: % error, dtype: float64",4
20,PolynomialRegression,False,DecisionTree,"Index(['ref_1', 'ref_9', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.3,"ref_1            98.758994
ref_9            84.513173
no_mixed_refs    23.129560
ref_5            14.245821
dtype: float64","count    149.000000
mean       8.568421
std        5.787679
min        0.026712
25%        4.261945
50%        7.403575
75%       11.388476
max       22.643433
Name: % error, dtype: float64",4
